feature,split,gain,total
f001_hostgal_photoz,1.0,1.0,2.0
f001_distmod,0.6531755453331355,0.7114048077012632,1.3645803530343987
f001_hostgal_photoz_err,0.2952589404956225,0.5094362733270447,0.8046952138226672
f002_flux_std-d-mean,0.02403917495177326,0.07656766847809553,0.10060684342986878
f004_y0_detected_std-d-mean-d-y2_detected_std-d-mean,0.02511500222584953,0.06387959106164282,0.08899459328749235
f006_flux_std-d-mean,0.013392194687639115,0.03181870510132021,0.04521089978895933
f010_pb2_flux_norm1_q25,0.02756343671167829,0.011584608513877534,0.03914804522555582
f006_flux_norm1_q25,0.027118266805163972,0.010821115856478101,0.037939382661642075
f004_y1_detected_std-d-mean-d-y2_detected_std-d-mean,0.03494583766137409,0.0029816986847810392,0.03792753634615513
f003_pb0_flux_min-d-pb2_flux_min,0.031903843300192906,0.005329957326406704,0.03723380062659961
f010_pb1_flux_norm1_q25,0.023111737646535093,0.012619699848762418,0.03573143749529751
f008_pb2_flux_norm1_diff_median,0.027192461789583025,0.0031828635336872036,0.030375325323270228
f002_flux_max,0.0153212642825345,0.010955425738457793,0.026276690020992293
f008_pb1_detected_diff_std-d-mean,0.024669832319335214,0.0011280283404426477,0.025797860659777863
fbk1-008_pb2_flux_q75,0.018697136073601423,0.006283041320445239,0.024980177394046663
f003_pb0_flux_err_min-d-pb1_flux_err_min,0.023111737646535093,0.0011718062133711513,0.024283543859906245
fbk1-007_pb5_flux_q75,0.01888262353464906,0.005250579608411449,0.024133203143060507
f003_pb0_flux_err_q25-d-pb1_flux_err_q25,0.02218430034129693,0.0017121184652373238,0.02389641880653425
f005_pb2_y0_flux_norm1_min,0.019142305980115744,0.003198851744892156,0.0223411577250079
fbk1-007_pb2_flux_q75,0.02006974328535391,0.0013134141017402368,0.021383157387094148
f009_pb5_flux_norm1_q75,0.019587475886630065,0.0014515203265743314,0.021038996213204396
f005_pb5_y1_flux_norm1_mean,0.019661670871049117,0.0008215996384217979,0.020483270509470915
f003_pb1_detected_std-d-mean,0.01684226146312509,0.0034330652856654526,0.020275326748790543
f003_pb0_flux_norm1_min-d-pb2_flux_norm1_min,0.018103576198248997,0.0019359970542166085,0.020039573252465605
f003_pb2_flux_err_min-d-pb4_flux_err_min,0.01888262353464906,0.0009927215044756744,0.019875345039124734
f009_pb1_flux_err_min-d-pb4_flux_err_min,0.01840035613592521,0.0011503743495346283,0.01955073048545984
f008_pb2_flux_norm1_diff_abs_median,0.012724439827867636,0.006486495176204124,0.019210935004071762
f008_pb1_detected_diff_abs_mean,0.017139041400801306,0.0020604588347742816,0.019199500235575588
f002_flux_norm1_std-d-mean,0.008384033239353019,0.009731990306189597,0.018116023545542616
f002_flux_norm1_median,0.016582579017658406,0.0013183908767089977,0.017900969894367402
fbk1-008_pb3_flux_q75,0.013095414749962902,0.004675144625755422,0.017770559375718323
f003_pb4_flux_norm1_median,0.016693871494286985,0.0009235992332592026,0.01761747072754619
f005_pb4_y2_flux_norm1_q25,0.016508384033239353,0.001099754527456849,0.017608138560696204
f008_pb4_detected_diff_abs_sum,0.015580946728001187,0.0015364744287621275,0.017117421156763315
fbk1-007_pb5_flux_std,0.013540584656477223,0.003402702281915994,0.016943286938393216
f008_pb2_detected_diff_abs_std-d-mean,0.015729336696839295,0.0008561860264843184,0.016585522723323615
f008_pb1_flux_norm1_diff_median,0.016026116634515506,0.0005270956893206325,0.01655321232383614
f010_pb1_flux_norm2_median-d-pb2_flux_norm2_median,0.015729336696839295,0.000723156606311411,0.016452493303150705
f004_y1_flux_norm1_mean,0.01443092446950586,0.0018637855456791474,0.01629471001518501
f003_pb2_flux_norm1_q75,0.01498738685264876,0.0012954706753882466,0.016282857528037008
f010_pb1_flux_norm1_min,0.014134144531829648,0.0021064442423844474,0.016240588774214096
f003_pb1_flux_q25-d-pb5_flux_q25,0.013392194687639115,0.0022768477826675053,0.01566904247030662
f008_pb3_flux_norm1_diff_abs_median,0.01302121976554385,0.0025235718463577773,0.015544791611901627
f008_pb2_flux_diff_abs_median,0.0147648018993916,0.0003450299346047739,0.015109831833996374
f009_pb2_flux_norm1_max-m-min,0.014319631992877281,0.000737542559521131,0.015057174552398413
f005_pb5_y1_flux_norm1_median,0.014022852055201068,0.0009173331400244766,0.014940185195225546
f008_pb2_flux_norm1_diff_abs_q25,0.014282534500667755,0.00035925318886426995,0.014641787689532025
f002_flux_err_max-d-min,0.012538952366820002,0.002028703589445857,0.014567655956265859
f003_pb1_flux_err_median-d-pb4_flux_err_median,0.013614779640896276,0.0009443765421031708,0.014559156182999446
f008_pb1_flux_norm2_diff_median,0.013169609734381955,0.0011202074506162362,0.014289817184998192
