feature,split,gain,total
f702_52vs90,1.0,1.0,2.0
f006_lumi_max-m-min,0.02777777777777778,0.02105919165257305,0.04883696943035083
fbk1-007_pb5_flux_max,0.024305555555555556,0.006335655063513385,0.03064121061906894
f013_lumi_q90,0.017045454545454548,0.00864947357306704,0.025694928118521587
f013_lumi_std,0.012152777777777778,0.0084833016449053,0.020636079422683078
f012_pb1_flux_norm2_min-d-pb3_flux_norm2_min,0.014993686868686868,0.004124344418502679,0.019118031287189547
f012_pb4_flux_q25,0.013257575757575758,0.005576361327844271,0.018833937085420027
f023_pb5_flux_norm1_q75,0.014046717171717172,0.0035613421882279474,0.017608059359945118
f012_pb1_lumi_q75,0.014204545454545456,0.0033563877790503535,0.01756093323359581
f015_pb2_d1_lumi_max,0.012152777777777778,0.005338044199470636,0.017490821977248414
f013_lumi_max-m-min,0.009785353535353536,0.007028130107323171,0.016813483642676708
f010_pb3_flux_err_std-d-mean-d-pb5_flux_err_std-d-mean,0.012152777777777778,0.0021614393704665544,0.014314217148244332
f002_lumi_max,0.007891414141414142,0.006090508179973961,0.013981922321388103
f023_pb1_flux_err_median-d-pb4_flux_err_median,0.012626262626262628,0.000888235060218659,0.013514497686481287
f012_pb0_flux_by_flux_ratio_sq_q90-d-pb5_flux_by_flux_ratio_sq_q90,0.01057449494949495,0.002906900413190578,0.013481395362685528
f015_pb3_d1_lumi_min,0.009311868686868686,0.00406147817961183,0.013373346866480517
f015_pb5_d1_flux_norm1_max,0.009154040404040404,0.004091554640831552,0.013245595044871956
f009_pb0_flux_median-d-pb2_flux_median,0.01120580808080808,0.0019917206954655274,0.013197528776273608
f015_pb2_detected_dates_max-m-min-d-pb3_detected_dates_max-m-min,0.010732323232323234,0.002389258052549499,0.013121581284872733
f020_pb3_detected_median-d-pb5_detected_median,0.011363636363636364,0.0017292367072450758,0.01309287307088144
f012_pb2_flux_norm2_q25-d-pb4_flux_norm2_q25,0.009785353535353536,0.0031026231660386304,0.012887976701392165
f002_lumi_max-m-min,0.007102272727272728,0.005407457988238652,0.01250973071551138
f025_pb0_detected_q10-d-pb1_detected_q10,0.010101010101010102,0.0023896665604611566,0.012490676661471259
f023_pb1_flux_err_q10-d-pb3_flux_err_q10,0.011521464646464646,0.0008723563375680985,0.012393820984032744
f018_pb2_flux_q25-d-pb4_flux_q25,0.010101010101010102,0.0021693324708011255,0.012270342571811227
f017_pb4_flux_std-d-mean-d-pb5_flux_std-d-mean,0.010416666666666668,0.0018299558333515463,0.012246622500018215
f023_pb3_flux_norm2_median-d-pb4_flux_norm2_median,0.010101010101010102,0.0019791083448949033,0.012080118445905005
f023_pb4_flux_norm2_median-d-pb5_flux_norm2_median,0.01057449494949495,0.0013276997061625942,0.011902194655657544
f003_pb1_lumi_q90,0.008680555555555556,0.0030983455223863054,0.011778901077941861
f020_pb1_flux_skew-d-pb4_flux_skew,0.009311868686868686,0.0021983925483552214,0.011510261235223907
f012_pb4_flux_norm1_q10,0.009154040404040404,0.0021398317659258783,0.011293872169966282
f012_pb2_flux_by_flux_ratio_sq_max-d-min-d-pb3_flux_by_flux_ratio_sq_max-d-min,0.00883838383838384,0.002434685930243883,0.011273069768627722
f014_d1_lumi_max,0.006944444444444445,0.0042120107832482835,0.011156455227692728
f010_pb1_flux_err_q75-d-pb3_flux_err_q75,0.00946969696969697,0.001481891018088213,0.010951587987785182
f014_d1_lumi_q90,0.007260101010101011,0.0036120257574401987,0.01087212676754121
f012_pb0_flux_norm2_min-d-pb3_flux_norm2_min,0.008207070707070708,0.0026025346374074225,0.01080960534447813
f020_pb3_flux_norm2_median-d-pb4_flux_norm2_median,0.00899621212121212,0.00156759105536955,0.01056380317658167
f010_pb0_flux_err_skew-d-pb5_flux_err_skew,0.009311868686868686,0.0012474414711211215,0.010559310157989808
f015_pb0_d0_flux_by_flux_ratio_sq_std-d-mean-d-pb2_d0_flux_by_flux_ratio_sq_std-d-mean,0.00899621212121212,0.0014461060368314933,0.010442318158043614
f023_pb5_flux_norm1_mean,0.008522727272727274,0.0018638579576501938,0.010386585230377467
f015_pb0_d0_flux_kurt-d-pb2_d0_flux_kurt,0.008680555555555556,0.0016218826644738065,0.010302438220029363
f020_pb1_flux_std-d-mean-d-pb2_flux_std-d-mean,0.00883838383838384,0.0014619672489071208,0.01030035108729096
f017_pb1_flux_norm2_q75-d-pb5_flux_norm2_q75,0.007575757575757576,0.0026433810972970088,0.010219138673054585
f003_pb1_flux_q90-m-q10-d-pb2_flux_q90-m-q10,0.006944444444444445,0.003206477770087729,0.010150922214532173
f003_pb2_flux_norm2_q75-d-pb4_flux_norm2_q75,0.008049242424242424,0.002035314460537835,0.01008455688478026
f003_pb1_lumi_q90-m-q10,0.007102272727272728,0.0028877155861487345,0.009989988313421462
f026_pb5_date_diff_0.7,0.008522727272727274,0.0013396720052264825,0.009862399277953756
f023_pb4_flux_norm2_q25-d-pb5_flux_norm2_q25,0.009311868686868686,0.0005420601729841795,0.009853928859852866
f012_pb3_flux_norm2_max-d-pb5_flux_norm2_max,0.007891414141414142,0.0018901034692289493,0.009781517610643092
f012_pb1_flux_q90-d-pb2_flux_q90,0.006786616161616162,0.0028875072216425156,0.009674123383258678
f010_pb2_flux_median-d-pb4_flux_median,0.008049242424242424,0.0013902423261002205,0.009439484750342644
f012_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.007102272727272728,0.0023353112670462224,0.00943758399431895
f009_pb1_lumi_median,0.007891414141414142,0.0014338317926330057,0.009325245934047148
f015_pb1_d0_lumi_max-m-min,0.006944444444444445,0.0023398065549833525,0.009284250999427798
f012_pb4_flux_q10-d-pb5_flux_q10,0.00899621212121212,0.00022350347020484807,0.009219715591416969
f010_pb1_flux_ratio_sq_max-d-pb3_flux_ratio_sq_max,0.00836489898989899,0.000839124785332142,0.009204023775231131
f003_pb0_detected_kurt-d-pb3_detected_kurt,0.006944444444444445,0.002237136859022815,0.00918158130346726
f020_pb5_flux_norm1_median,0.007891414141414142,0.0012831675684731015,0.009174581709887244
f003_pb0_flux_ratio_sq_q10-d-pb1_flux_ratio_sq_q10,0.007891414141414142,0.0011969987231850833,0.009088412864599226
f026_pb4_date_diff_0.3,0.007733585858585859,0.001194996431150099,0.008928582289735958
f017_pb5_flux_norm1_q75,0.006313131313131314,0.0025887400948642505,0.008901871407995565
f012_pb1_lumi_q90,0.006944444444444445,0.0019350364519390118,0.008879480896383457
f012_pb4_flux_by_flux_ratio_sq_std-d-mean-d-pb5_flux_by_flux_ratio_sq_std-d-mean,0.008049242424242424,0.0007678837449259291,0.008817126169168353
f020_pb2_flux_err_kurt-d-pb4_flux_err_kurt,0.007575757575757576,0.0011506495645855464,0.008726407140343123
f013_lumi_q75-m-q25,0.005839646464646465,0.0028396479162759707,0.008679294380922437
f012_pb2_flux_norm2_q10-d-pb3_flux_norm2_q10,0.006313131313131314,0.0023219050912154297,0.008635036404346744
f012_pb0_lumi_max,0.005366161616161617,0.003105330313847288,0.008471491930008904
f017_pb4_flux_norm2_q75-d-pb5_flux_norm2_q75,0.006944444444444445,0.0013673820421342621,0.008311826486578707
f023_pb5_flux_norm1_median,0.007102272727272728,0.0011886003181787366,0.008290873045451464
f017_pb5_flux_norm2_std-d-mean,0.007102272727272728,0.0011828290467029703,0.008285101773975699
f010_pb1_flux_ratio_sq_q75-d-pb5_flux_ratio_sq_q75,0.007260101010101011,0.0008899530516223544,0.008150054061723365
f010_pb1_flux_norm2_median-d-pb4_flux_norm2_median,0.007260101010101011,0.0008871653264113142,0.008147266336512325
f009_pb1_lumi_q75,0.006786616161616162,0.001315270559946865,0.008101886721563027
f015_pb4_d1_lumi_max,0.005997474747474748,0.0020482968924538966,0.008045771639928645
f015_pb2_d0_flux_err_kurt-d-pb5_d0_flux_err_kurt,0.007260101010101011,0.000782657134830813,0.008042758144931824
f010_pb1_flux_by_flux_ratio_sq_std-d-mean-d-pb3_flux_by_flux_ratio_sq_std-d-mean,0.006944444444444445,0.0010391504102126709,0.007983594854657116
f015_pb4_d1_flux_ratio_sq_median,0.007575757575757576,0.0003070410757404575,0.007882798651498034
f004_y0_lumi_q10-d-y1_lumi_q10,0.006786616161616162,0.0009656200702082277,0.00775223623182439
f020_pb0_detected_median-d-pb1_detected_median,0.006470959595959596,0.0012382421337878732,0.00770920172974747
f003_pb3_flux_err_skew-d-pb5_flux_err_skew,0.006313131313131314,0.0013611756238929836,0.007674306937024297
f023_pb3_flux_norm1_mean,0.006470959595959596,0.0011905343306359794,0.0076614939265955756
f018_pb3_lumi_min,0.006470959595959596,0.0011342606714970162,0.007605220267456612
f025_pb4_flux_norm2_min-d-pb5_flux_norm2_min,0.006470959595959596,0.0010769286436576632,0.007547888239617259
f012_pb1_flux_norm2_q10-d-pb3_flux_norm2_q10,0.005681818181818182,0.0017973181364623688,0.00747913631828055
f017_pb4_flux_norm2_median-d-pb5_flux_norm2_median,0.006628787878787879,0.0008303667416512476,0.007459154620439126
f017_pb5_flux_norm1_q90,0.006155303030303031,0.0012133039510335434,0.007368606981336574
f009_pb2_flux_kurt,0.006313131313131314,0.0010252615286277303,0.007338392841759044
f023_pb2_flux_q10,0.006155303030303031,0.0011681899122101855,0.007323492942513216
f018_pb1_lumi_q90,0.005997474747474748,0.0012279901096239852,0.007225464857098733
f010_pb1_flux_by_flux_ratio_sq_q75-m-q25,0.006470959595959596,0.0007495726309404176,0.0072205322269000135
f010_pb0_flux_median-d-pb1_flux_median,0.006155303030303031,0.0009572877140794342,0.007112590744382465
f017_pb1_flux_q75-d-pb5_flux_q75,0.005997474747474748,0.0010656635953679178,0.007063138342842666
f009_pb2_flux_by_flux_ratio_sq_min-d-pb3_flux_by_flux_ratio_sq_min,0.005997474747474748,0.0009998210426120186,0.006997295790086767
f003_pb0_flux_max,0.005681818181818182,0.0012526916398464575,0.006934509821664639
f005_pb4_y2_flux_norm1_min,0.005997474747474748,0.0009353081013355549,0.006932782848810303
f018_pb3_flux_ratio_sq_median-d-pb5_flux_ratio_sq_median,0.005997474747474748,0.0009349669687126318,0.0069324417161873795
f003_pb1_lumi_q75-m-q25,0.004734848484848485,0.0021653445065991017,0.006900192991447587
f018_pb4_flux_ratio_sq_kurt-d-pb5_flux_ratio_sq_kurt,0.005997474747474748,0.0008947109956953295,0.006892185743170078
f005_pb0_y0_lumi_q75-m-q25,0.005523989898989899,0.0012921377140289393,0.006816127613018839
f023_pb3_flux_norm2_median-d-pb5_flux_norm2_median,0.005523989898989899,0.001291976936477361,0.00681596683546726
f020_pb1_flux_mean-d-pb2_flux_mean,0.005523989898989899,0.0012690985739695212,0.00679308847295942
f017_pb3_flux_norm1_min,0.005839646464646465,0.0009019684828413056,0.0067416149474877705
f015_pb1_d0_flux_by_flux_ratio_sq_kurt-d-pb4_d0_flux_by_flux_ratio_sq_kurt,0.005839646464646465,0.0008946027106955797,0.006734249175342045
f018_pb3_flux_norm1_min,0.005839646464646465,0.0008828505092343126,0.006722496973880778
f005_pb1_y1_flux_by_flux_ratio_sq_max-d-min,0.005839646464646465,0.0008820612388138794,0.006721707703460344
f003_pb2_flux_err_kurt-d-pb5_flux_err_kurt,0.005839646464646465,0.0008279391176848207,0.006667585582331286
f017_pb4_flux_norm1_std-d-mean-d-pb5_flux_norm1_std-d-mean,0.005681818181818182,0.0009430258515266967,0.0066248440333448785
f009_pb0_flux_by_flux_ratio_sq_skew-d-pb1_flux_by_flux_ratio_sq_skew,0.005839646464646465,0.0007458964903708523,0.006585542955017318
f015_pb1_d0_lumi_std,0.004577020202020202,0.0020039458563635847,0.006580966058383786
f009_pb0_flux_norm1_median-d-pb2_flux_norm1_median,0.005523989898989899,0.0009506372506187642,0.006474627149608663
f004_y0_flux_norm2_q10-d-y1_flux_norm2_q10,0.005681818181818182,0.0007676842874099039,0.006449502469228086
f017_pb4_flux_mean-d-pb5_flux_mean,0.005208333333333334,0.0012271790092688167,0.006435512342602151
f025_pb3_detected_q10-d-pb5_detected_q10,0.005681818181818182,0.0007418989767239235,0.0064237171585421055
f005_pb1_y2_flux_norm1_q25,0.005208333333333334,0.0012072223685160683,0.006415555701849402
f025_pb1_flux_ratio_sq_q10-d-pb4_flux_ratio_sq_q10,0.005523989898989899,0.0008819842998916044,0.006405974198881503
f020_pb1_flux_norm1_std-d-mean-d-pb2_flux_norm1_std-d-mean,0.005366161616161617,0.0010210330752046795,0.006387194691366296
f020_pb3_flux_min-d-pb5_flux_min,0.005366161616161617,0.0010168249011658752,0.006382986517327492
f018_pb2_flux_ratio_sq_q25-d-pb4_flux_ratio_sq_q25,0.005208333333333334,0.0011158342726488996,0.0063241676059822335
f009_pb1_flux_ratio_sq_min-d-pb4_flux_ratio_sq_min,0.005523989898989899,0.0007818688519239569,0.0063058587509138555
f017_pb2_flux_by_flux_ratio_sq_max-d-min-d-pb3_flux_by_flux_ratio_sq_max-d-min,0.005366161616161617,0.0009395333757640784,0.006305694991925695
f017_pb0_flux_max-d-min-d-pb1_flux_max-d-min,0.005839646464646465,0.0004495952939125378,0.006289241758559003
f023_pb1_flux_ratio_sq_q25-d-pb4_flux_ratio_sq_q25,0.005681818181818182,0.0006032690694319906,0.0062850872512501725
f017_pb1_flux_norm2_mean-d-pb5_flux_norm2_mean,0.004734848484848485,0.001532996407441916,0.006267844892290401
f004_y1_flux_err_q90-m-q10-d-y2_flux_err_q90-m-q10,0.005681818181818182,0.0005702594385112135,0.0062520776203293955
f012_pb1_flux_median-d-pb2_flux_median,0.005050505050505051,0.0011821334394517603,0.006232638489956812
f012_pb2_flux_ratio_sq_min-d-pb4_flux_ratio_sq_min,0.005366161616161617,0.0008467838948405379,0.006212945511002155
f023_pb2_flux_min,0.005366161616161617,0.000823024220863885,0.006189185837025502
f010_pb2_flux_q90-d-pb3_flux_q90,0.005366161616161617,0.0008143552718070784,0.006180516887968696
f023_pb5_flux_by_flux_ratio_sq_skew,0.005523989898989899,0.0006160069351564046,0.006139996834146303
f023_pb1_flux_err_min-d-pb3_flux_err_min,0.005523989898989899,0.0006023511878153471,0.006126341086805246
f023_pb4_detected_std,0.005366161616161617,0.0007263148778619957,0.006092476494023612
f018_pb2_flux_norm1_q25-d-pb4_flux_norm1_q25,0.005208333333333334,0.0008823466845399883,0.006090680017873322
f017_pb0_flux_by_flux_ratio_sq_q90-d-pb5_flux_by_flux_ratio_sq_q90,0.004577020202020202,0.0014957093805941565,0.0060727295826143585
f020_pb1_flux_kurt-d-pb3_flux_kurt,0.005208333333333334,0.0008240872251661323,0.0060324205584994664
f015_pb2_d0_flux_by_flux_ratio_sq_median-d-pb3_d0_flux_by_flux_ratio_sq_median,0.005366161616161617,0.0006507145665269051,0.006016876182688522
f015_pb0_d0_flux_ratio_sq_q10-d-pb1_d0_flux_ratio_sq_q10,0.005208333333333334,0.0007835722006460006,0.005991905533979334
f003_pb1_flux_q75-m-q25-d-pb3_flux_q75-m-q25,0.004892676767676768,0.0010967015222570905,0.005989378289933858
f017_pb5_flux_mean,0.004892676767676768,0.0010928598213321408,0.005985536589008909
f003_pb3_flux_by_flux_ratio_sq_q90-d-pb4_flux_by_flux_ratio_sq_q90,0.005208333333333334,0.0007657293767794204,0.005974062710112755
f023_pb3_flux_norm2_mean-d-pb5_flux_norm2_mean,0.004892676767676768,0.0010734745453973766,0.005966151313074144
f010_pb4_flux_ratio_sq_std-d-mean-d-pb5_flux_ratio_sq_std-d-mean,0.005050505050505051,0.0008969993009915433,0.005947504351496594
f017_pb3_lumi_mean-d-pb5_lumi_mean,0.004892676767676768,0.0010423014110978127,0.005934978178774581
f025_pb3_flux_q75,0.004734848484848485,0.0011916211720198954,0.00592646965686838
f012_pb4_flux_ratio_sq_max-d-min,0.004734848484848485,0.0011519312571374083,0.005886779741985893
f020_pb2_flux_err_max-d-min-d-pb4_flux_err_max-d-min,0.005050505050505051,0.0008298113808321947,0.0058803164313372455
f018_pb3_flux_norm1_q25,0.005050505050505051,0.0008029915984384912,0.005853496648943542
f012_pb1_flux_norm2_q25-d-pb4_flux_norm2_q25,0.004261363636363637,0.0015742947195080356,0.005835658355871673
f012_pb4_flux_norm1_kurt-d-pb5_flux_norm1_kurt,0.005366161616161617,0.0004611080124560144,0.005827269628617631
f017_pb1_lumi_q75,0.004734848484848485,0.0010852832062752285,0.005820131691123713
f012_pb3_detected_q90-m-q10-d-pb5_detected_q90-m-q10,0.004577020202020202,0.0012180791784370953,0.005795099380457297
f018_pb1_flux_norm1_max-d-min-d-pb5_flux_norm1_max-d-min,0.005050505050505051,0.0007280411068479066,0.005778546157352958
