feature,split,gain,total
fbk1-007_pb5_flux_max,0.75,0.7707461538522578,1.5207461538522578
f017_pb3_flux_norm1_min,1.0,0.4023180571813748,1.402318057181375
f006_lumi_max-m-min,0.305,1.0,1.305
f009_pb0_flux_by_flux_ratio_sq_skew-d-pb1_flux_by_flux_ratio_sq_skew,0.9400000000000001,0.34046741846918005,1.28046741846918
f003_pb1_lumi_q90,0.605,0.6467805075549158,1.2517805075549158
f012_pb1_flux_norm2_min-d-pb3_flux_norm2_min,0.7,0.47265949352083686,1.1726594935208368
f026_pb4_date_diff_0.3,0.72,0.4050080732457128,1.1250080732457128
f023_pb5_flux_norm1_q75,0.5,0.4577756111161848,0.9577756111161848
f012_pb2_flux_norm2_q25-d-pb4_flux_norm2_q25,0.58,0.37658916277083865,0.9565891627708386
f003_pb2_flux_err_kurt-d-pb5_flux_err_kurt,0.665,0.2629167115292884,0.9279167115292885
f015_pb1_d0_lumi_max-m-min,0.41,0.5024402162190056,0.9124402162190055
f003_pb0_detected_kurt-d-pb3_detected_kurt,0.48,0.3974477622446205,0.8774477622446204
f009_pb1_lumi_median,0.595,0.26078464025009046,0.8557846402500904
f012_pb0_flux_norm2_min-d-pb3_flux_norm2_min,0.485,0.367905297794945,0.852905297794945
f015_pb2_d0_flux_err_kurt-d-pb5_d0_flux_err_kurt,0.545,0.25854624735450504,0.8035462473545051
f013_lumi_max-m-min,0.22999999999999998,0.5664278987345089,0.7964278987345089
f015_pb2_d1_lumi_max,0.305,0.4692980622750363,0.7742980622750363
f009_pb1_lumi_q75,0.475,0.2886625071781631,0.7636625071781631
f003_pb1_flux_q75-m-q25-d-pb3_flux_q75-m-q25,0.43,0.3334806040406091,0.763480604040609
f013_lumi_q90,0.265,0.46779403614941917,0.7327940361494192
f015_pb5_d1_flux_norm1_max,0.225,0.4770631306306513,0.7020631306306513
f003_pb1_lumi_q90-m-q10,0.26,0.4357767723860988,0.6957767723860988
f012_pb4_flux_ratio_sq_max-d-min,0.375,0.3078202463233,0.6828202463233
f009_pb0_flux_ratio_sq_std-d-mean-d-pb3_flux_ratio_sq_std-d-mean,0.39,0.2847176911219685,0.6747176911219686
f026_pb5_date_diff_0.7,0.47000000000000003,0.1978962786532776,0.6678962786532776
f012_pb4_flux_norm1_q10,0.385,0.2766960119255715,0.6616960119255715
f023_pb4_flux_norm2_median-d-pb5_flux_norm2_median,0.43,0.22001979681257347,0.6500197968125735
f012_pb0_flux_by_flux_ratio_sq_q90-d-pb5_flux_by_flux_ratio_sq_q90,0.33999999999999997,0.30360412879902426,0.6436041287990242
f023_pb1_flux_norm2_max-d-min-d-pb4_flux_norm2_max-d-min,0.45,0.18353184830654887,0.6335318483065489
f012_pb4_flux_q25,0.26,0.3510756572290264,0.6110756572290263
f018_pb3_flux_norm1_q25,0.395,0.21341735694071817,0.6084173569407182
f018_pb4_flux_norm1_q25,0.33999999999999997,0.24573160769923805,0.585731607699238
f014_d1_lumi_max,0.175,0.4053924832519038,0.5803924832519038
f012_pb1_lumi_q75,0.36,0.2075141137647135,0.5675141137647135
f020_pb1_flux_mean-d-pb2_flux_mean,0.32999999999999996,0.22324530476232304,0.553245304762323
