feature,split,gain,total
f014_detected_dates,0.9498895637769189,1.0,1.949889563776919
f001_hostgal_photoz,0.8763804527885147,0.2662116124158592,1.142592065204374
f006_flux_ratio_sq_std-d-mean,1.0,0.0038699068424804172,1.0038699068424803
f002_lumi_std-d-mean,0.48364163445610164,0.4452416809180008,0.9288833153741025
f001_hostgal_photoz_err,0.6742131419105466,0.25306853904755106,0.9272816809580977
f002_flux_by_flux_ratio_sq_skew,0.6613749309773607,0.2151310342354209,0.8765059652127816
f002_lumi_kurt,0.5036581998895638,0.1429585106114833,0.6466167105010472
f014_d1_lumi_max-d-min,0.3152263942573164,0.30738987983346533,0.6226162740907817
f003_pb1_flux_q75-m-q25,0.027125897294312532,0.5319939617711273,0.5591198590654399
f010_pb5_flux_norm2_min,0.0894533406957482,0.41457005044762085,0.504023391143369
f002_lumi_max-m-min-d-mean,0.2613887355052457,0.20221085507582398,0.4635995905810697
f013_lumi_min,0.032302595251242405,0.40625238861182106,0.43855498386306346
f014_d1_lumi_min,0.1893981225842076,0.22429966187978442,0.413697784463992
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.14128934290447268,0.2716139121196968,0.41290325502416947
f014_d1_flux_norm3_min,0.17269464384318056,0.23704149033568606,0.4097361341788666
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.23440088348978466,0.16217360702251507,0.39657449051229976
f003_pb0_lumi_std-d-pb4_lumi_std,0.06757316399779129,0.2983888697517688,0.3659620337495601
f013_lumi_q10,0.03306184428492546,0.29123748611385786,0.32429933039878334
f006_lumi_q75-m-q25,0.032164549972390946,0.2577324888833655,0.2898970388557564
f014_d0_flux_ratio_sq_q75,0.27408890115958034,0.015323682290749683,0.28941258345033005
f003_pb2_flux_by_flux_ratio_sq_min-d-pb5_flux_by_flux_ratio_sq_min,0.2824406405300939,0.002172355190081113,0.284612995720175
f006_lumi_std-d-mean,0.18608503589177253,0.08270723450291659,0.2687922703946891
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.1974047487575925,0.05711280086582263,0.2545175496234151
f014_d0_flux_ratio_sq_median,0.24178630590833794,0.010278648598337952,0.2520649545066759
f006_flux_skew,0.12479293208172282,0.1254893839550133,0.2502823160367361
f006_flux_norm1_q90,0.100565985643291,0.14066918935621398,0.24123517499950498
f003_pb2_lumi_q10-d-pb5_lumi_q10,0.09428492545554942,0.14216494972253604,0.23644987517808547
f015_pb5_d1_lumi_q75,0.012078961899503037,0.22297173620733374,0.23505069810683676
f015_pb5_d1_flux_norm1_max,0.2058945334069575,0.026047635479791022,0.2319421688867485
f003_pb0_flux_norm2_q25-d-pb1_flux_norm2_q25,0.03609884041965765,0.19436295631308959,0.23046179673274725
f013_lumi_median,0.01594422970734401,0.20051198792514574,0.21645621763248976
f015_pb2_d1_flux_norm3_min,0.17849254555494204,0.02136113085355749,0.19985367640849952
