feature,split,gain,total
f001_hostgal_photoz,1.0,1.0,2.0
f001_hostgal_photoz_err,0.33825565297646515,0.40623115015085476,0.74448680312732
f014_detected_dates,0.35302261190586065,0.21817606756711716,0.5711986794729778
f014_d1_flux_norm1_min,0.0369173973234887,0.23597308625833455,0.2728904835818232
f003_pb5_flux_norm2_min,0.0027688047992616522,0.16315288023378355,0.1659216850330452
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.05768343331795109,0.06291249796101567,0.12059593127896676
f006_flux_norm1_skew,0.011536686663590218,0.10361422593740079,0.115150912600991
f003_pb1_flux_q75-m-q25,0.023996308260267652,0.08496420999202774,0.10896051825229539
f002_flux_by_flux_ratio_sq_max-d-min,0.015228426395939087,0.09105435460378812,0.10628278099972721
f002_flux_by_flux_ratio_sq_skew,0.03645592985694509,0.06286857946461387,0.09932450932155895
f014_d0_flux_ratio_sq_q75,0.05122288878634056,0.044859329224415836,0.09608221801075639
f010_pb5_flux_norm2_min,0.003230272265805261,0.09136407637503717,0.09459434864084243
f014_d0_flux_ratio_sq_median,0.020766035994462393,0.064987298947535,0.08575333494199738
f002_flux_by_flux_ratio_sq_std-d-mean,0.03368712505768343,0.04586468393690931,0.07955180899459274
f006_flux_by_flux_ratio_sq_q75,0.02907245039224735,0.04816192592072532,0.07723437631297267
f003_pb1_flux_ratio_sq_median,0.04983848638670974,0.02349787057620109,0.07333635696291083
f006_flux_norm1_q90,0.011536686663590218,0.06176783227821583,0.07330451894180605
f006_flux_by_flux_ratio_sq_q90,0.0373788647900323,0.020662038476367134,0.058040903266399435
f014_d0_flux_ratio_sq_q75-m-q25,0.02491924319335487,0.030265460790033814,0.055184703983388685
f003_pb0_flux_ratio_sq_median,0.00692201199815413,0.04788531188207944,0.054807323880233565
f014_d1_flux_norm1_max-d-min,0.012921089063221043,0.041685138663563104,0.05460622772678415
f015_pb5_d1_flux_norm1_max,0.02168897092754961,0.03279750779267535,0.05448647872022496
f015_pb5_d1_flux_norm1_q90,0.019381633594831565,0.030960960695926992,0.05034259429075856
f017_pb5_flux_norm1_mean,0.03137978772496539,0.018506529423749564,0.049886317148714956
f008_pb5_flux_diff_abs_mean,0.00369173973234887,0.04478327913394462,0.04847501886629349
f019_m2_pb4_flux_norm1_q25,0.011075219197046609,0.03731564573917298,0.048390864936219594
f015_pb5_d1_flux_max-d-min,0.013382556529764653,0.03404943897461453,0.04743199550437918
f008_pb5_flux_diff_abs_median,0.009229349330872175,0.03723047690569527,0.04645982623656744
f015_pb0_d1_flux_norm2_max-d-pb2_d1_flux_norm2_max,0.004153207198892479,0.04142727693248891,0.04558048413138139
f017_pb0_flux_norm1_mean,0.009229349330872175,0.036269887535715,0.045499236866587175
f011_pb2_flux_err_fft_max_amp-d-pb3_flux_err_fft_max_amp,0.003230272265805261,0.03736616930189348,0.04059644156769874
f014_d0_flux_ratio_sq_q25,0.01476695892939548,0.023710102659181227,0.03847706158857671
f009_pb0_flux_norm1_mean,0.01430549146285187,0.023320712818479587,0.037626204281331455
f013_flux_ratio_sq_std-d-mean,0.030456852791878174,0.005036641330565216,0.03549349412244339
f002_flux_norm1_mean,0.023996308260267652,0.010477532737038135,0.034473840997305785
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.01753576372865713,0.016900052797992535,0.03443581652664966
f004_y0_detected_std-d-mean-d-y2_detected_std-d-mean,0.010613751730503,0.023618840478776097,0.0342325922092791
f015_pb5_d1_flux_norm1_max-d-min,0.016151361329026306,0.017522489836159293,0.0336738511651856
f014_d0_flux_norm1_q75,0.025380710659898477,0.007479203541110463,0.03285991420100894
f015_pb1_d0_flux_ratio_sq_median,0.027226580526072915,0.005185068532305612,0.032411649058378525
f011_pb1_flux_norm1_fft_max_amp,0.02168897092754961,0.010689220836783246,0.032378191764332855
f017_pb2_flux_norm2_q75-d-pb5_flux_norm2_q75,0.011536686663590218,0.019764259182169883,0.0313009458457601
f003_pb1_flux_norm2_max-d-pb2_flux_norm2_max,0.026765113059529305,0.004484015247395352,0.031249128306924657
f015_pb5_d1_flux_norm2_std-d-mean,0.008306414397784958,0.02246797736610783,0.030774391763892787
f017_pb0_flux_norm1_q25,0.008306414397784958,0.022349480875363682,0.030655895273148638
f015_pb5_d1_flux_norm2_max-d-min,0.011536686663590218,0.01892752436738434,0.030464211030974558
f002_flux_ratio_sq_q90,0.022150438394093218,0.008038936357145027,0.030189374751238243
f003_pb2_flux_skew,0.02491924319335487,0.005197020264312239,0.03011626345766711
f012_pb2_flux_norm2_q90-d-pb5_flux_norm2_q90,0.012459621596677435,0.017403131603512523,0.02986275320018996
f014_d1_flux_min,0.011536686663590218,0.01802216072833153,0.029558847391921748
f003_pb2_flux_err_q25-d-pb4_flux_err_q25,0.009690816797415782,0.019698859321511206,0.02938967611892699
f017_pb3_flux_norm1_min,0.020766035994462393,0.008247232756605459,0.029013268751067852
f014_d1_flux_by_flux_ratio_sq_max-d-min,0.021227503461006,0.007146447465989115,0.028373950926995115
f002_flux_ratio_sq_q90-m-q10,0.020766035994462393,0.007499027068637668,0.02826506306310006
f017_pb2_flux_norm2_mean-d-pb4_flux_norm2_mean,0.018920166128287955,0.009102328312095,0.028022494440382954
f006_flux_norm1_mean,0.01753576372865713,0.01039104746506248,0.027926811193719613
f002_a_2__skewness,0.02491924319335487,0.002964677224450958,0.027883920417805828
f004_y2_flux_by_flux_ratio_sq_q10,0.019843101061375174,0.007627971369529815,0.027471072430904988
f017_pb2_flux_norm1_max,0.0027688047992616522,0.02451706490725929,0.027285869706520943
f003_pb2_flux_err_min-d-pb4_flux_err_min,0.01753576372865713,0.009076484644537726,0.026612248373194855
f013_flux_by_flux_ratio_sq_std-d-mean,0.02168897092754961,0.0047472225355193525,0.026436193463068962
f009_pb5_flux_norm1_mean,0.010613751730503,0.01511552172517456,0.025729273455677562
fbk1-006_pb0_flux_median,0.001845869866174435,0.023612971287742413,0.025458841153916847
f014_d1_flux_norm1_std,0.018920166128287955,0.006289010197334928,0.025209176325622883
f020_pb5_flux_q75,0.020304568527918784,0.004864819908526841,0.025169388436445624
f009_pb0_flux_by_flux_ratio_sq_mean-d-pb5_flux_by_flux_ratio_sq_mean,0.003230272265805261,0.021583522046649276,0.024813794312454535
f019_m0_pb5_flux_norm1_q90,0.01476695892939548,0.01002900463015875,0.024795963559554227
fbk1-007_pb0_flux_std,0.0055376095985233045,0.019156866211711334,0.024694475810234637
f012_pb2_flux_norm1_q10,0.015689893862482696,0.008955695816633753,0.02464558967911645
f008_pb3_flux_diff_abs_median,0.008767881864328565,0.015782023417688525,0.02454990528201709
fbk1-007_pb5_flux_max,0.021227503461006,0.0032941221360416936,0.024521625597047694
f003_pb0_flux_norm1_mean,0.006460544531610522,0.01801724591239024,0.024477790444000763
f017_pb5_flux_norm1_q25,0.020304568527918784,0.00413464555907074,0.024439214086989524
f003_pb0_flux_ratio_sq_q75-d-pb3_flux_ratio_sq_q75,0.015228426395939087,0.008647333815284548,0.023875760211223635
f002_flux_norm1_q90,0.015689893862482696,0.008171147655630928,0.023861041518113624
f003_pb0_flux_ratio_sq_median-d-pb5_flux_ratio_sq_median,0.015228426395939087,0.00858358018771111,0.023812006583650194
f015_pb3_d1_flux_norm2_max-d-pb5_d1_flux_norm2_max,0.01476695892939548,0.008529099920936796,0.023296058850332275
f015_pb0_d0_flux_ratio_sq_median,0.004153207198892479,0.018761786085092252,0.02291499328398473
f003_pb2_flux_q75-m-q25,0.012459621596677435,0.00964863174786626,0.022108253344543694
f015_pb4_detected_dates_max-m-min,0.01753576372865713,0.004070965995841792,0.021606729724498924
f009_pb2_flux_q75-m-q25,0.019843101061375174,0.00172651184305389,0.021569612904429065
f002_flux_by_flux_ratio_sq_max-m-min-d-mean,0.005076142131979696,0.01604029434575034,0.02111643647773004
f015_pb5_d1_flux_mean,0.009690816797415782,0.011146085726577562,0.020836902523993346
f018_pb2_flux_norm1_q25,0.012921089063221043,0.007794733569715884,0.020715822632936927
f003_pb2_flux_err_q25-d-pb5_flux_err_q25,0.008767881864328565,0.011758260626818874,0.02052614249114744
f014_d1_flux_q10,0.013382556529764653,0.0068682009734434765,0.02025075750320813
f003_pb2_flux_err_kurt-d-pb5_flux_err_kurt,0.018920166128287955,0.0013017117650565423,0.0202218778933445
f015_pb0_d1_flux_norm2_max,0.006460544531610522,0.013514012686246425,0.019974557217856945
f002_flux_by_flux_ratio_sq_median,0.015689893862482696,0.004109562621804841,0.019799456484287537
f012_pb0_flux_norm2_min-d-pb3_flux_norm2_min,0.015228426395939087,0.004484934116748057,0.019713360512687142
f015_pb2_d0_flux_by_flux_ratio_sq_q90,0.01707429626211352,0.0024949048974068776,0.019569201159520398
f015_pb1_d0_flux_norm1_q75,0.015228426395939087,0.004249009093126239,0.019477435489065324
f003_pb0_flux_norm1_q90-m-q10,0.01753576372865713,0.0018147085281779252,0.019350472256835057
f012_pb2_flux_norm1_q25,0.012921089063221043,0.006341923165484451,0.019263012228705495
f020_pb0_flux_norm2_max,0.01753576372865713,0.0017046994079563805,0.01924046313661351
f017_pb5_flux_norm1_median,0.015228426395939087,0.0037570511456387432,0.018985477541577832
f003_pb1_flux_norm1_q75-m-q25,0.015228426395939087,0.0037165616871616424,0.01894498808310073
f019_m2_pb4_flux_norm1_mean,0.011075219197046609,0.007830495787176843,0.01890571498422345
f008_pb2_flux_norm2_chng_abs_median,0.015228426395939087,0.0036535988634906467,0.018882025259429735
f006_flux_ratio_sq_std-d-mean,0.01753576372865713,0.0010751806887400598,0.01861094441739719
f015_pb1_d1_flux_norm2_max-d-pb2_d1_flux_norm2_max,0.012921089063221043,0.005632679805497259,0.018553768868718304
f020_pb5_flux_mean,0.009229349330872175,0.009266490125320955,0.018495839456193132
f003_pb0_flux_ratio_sq_mean-d-pb4_flux_ratio_sq_mean,0.013382556529764653,0.005096859268620235,0.01847941579838489
f009_pb5_flux_by_flux_ratio_sq_std-d-mean,0.016612828795569915,0.0018434127026358054,0.01845624149820572
f017_pb5_flux_norm1_min,0.016151361329026306,0.002000722879371037,0.018152084208397343
f017_pb0_flux_norm1_q10,0.010613751730503,0.007494916648776975,0.018108668379279973
f005_pb0_y2_flux_by_flux_ratio_sq_std-d-mean,0.016612828795569915,0.0013722638684518227,0.017985092664021738
f003_pb2_flux_by_flux_ratio_sq_q75-m-q25-d-pb3_flux_by_flux_ratio_sq_q75-m-q25,0.011998154130133826,0.005901952392463877,0.017900106522597704
f019_m0_pb5_flux_norm1_q75,0.01430549146285187,0.0035076538771112095,0.01781314533996308
fbk1-008_pb4_flux_mean,0.01476695892939548,0.002913446582812492,0.01768040551220797
f013_flux_by_flux_ratio_sq_max-d-min,0.01476695892939548,0.0026303302852522504,0.01739728921464773
f007_flux_by_flux_ratio_sq_median,0.008306414397784958,0.008983248512279326,0.017289662910064285
f019_m1_pb4_flux_norm1_mean,0.009229349330872175,0.007939728362593823,0.017169077693465998
f017_pb4_flux_norm1_q10,0.012459621596677435,0.004694892897519726,0.01715451449419716
f013_date_diff_mean,0.009690816797415782,0.007321451880715975,0.017012268678131756
f003_pb2_flux_norm1_skew,0.015228426395939087,0.0015812717157867831,0.01680969811172587
f010_pb4_flux_norm1_q75,0.00369173973234887,0.01307883368441673,0.016770573416765598
f018_pb5_flux_max,0.01430549146285187,0.002266426892364948,0.01657191835521682
f017_pb0_flux_norm1_min,0.009690816797415782,0.006813122736155775,0.016503939533571557
f002_a_1__skewness,0.015228426395939087,0.0010149797831909468,0.016243406179130032
