feature,split,gain,total
f001_hostgal_photoz,1.0,1.0,2.0
f014_detected_dates,0.3543557168784029,0.356341247416468,0.7106969642948708
f001_hostgal_photoz_err,0.3080762250453721,0.3457601974167842,0.6538364224621562
f010_pb5_flux_norm2_min,0.004537205081669692,0.2722956024053744,0.27683280748704414
f014_d1_flux_norm1_min,0.032667876588021776,0.18652051755414992,0.2191883941421717
f014_d0_flux_ratio_sq_q75,0.08484573502722323,0.07835620514755924,0.16320194017478246
f006_flux_by_flux_ratio_sq_q75,0.039927404718693285,0.09384957891678174,0.13377698363547502
f014_d0_flux_ratio_sq_median,0.029038112522686028,0.08984115118111126,0.11887926370379728
f006_flux_skew,0.004990925589836661,0.10347615722494223,0.10846708281477889
f008_pb5_flux_diff_abs_median,0.01497277676950998,0.09057049629531043,0.1055432730648204
f022_flux_by_flux_ratio_sq_max-d-min,0.006805807622504537,0.0946102050424185,0.10141601266492303
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.05671506352087114,0.037956244497186896,0.09467130801805804
f011_pb2_flux_err_fft_max_amp-d-pb3_flux_err_fft_max_amp,0.0054446460980036296,0.07972678756773842,0.08517143366574205
f015_pb5_d1_flux_norm1_max,0.029038112522686028,0.04896297524481973,0.07800108776750576
f003_pb1_flux_ratio_sq_median,0.048548094373865695,0.022680397550112946,0.07122849192397865
f002_flux_norm1_mean,0.04582577132486388,0.024421283115255703,0.07024705444011958
f008_pb3_flux_diff_abs_median,0.01542649727767695,0.04878204619416823,0.06420854347184518
f014_d1_flux_min,0.010889292196007259,0.05275207151159611,0.06364136370760337
f002_flux_by_flux_ratio_sq_std-d-mean,0.024047186932849362,0.03783481691162695,0.06188200384447631
f014_d1_flux_norm1_max-d-min,0.014519056261343014,0.04698116269328088,0.06150021895462389
f013_flux_ratio_sq_std-d-mean,0.044010889292196,0.014034456374802256,0.05804534566699826
f009_pb0_flux_norm1_mean,0.019963702359346643,0.03481736471353016,0.054781067072876805
f003_pb0_flux_ratio_sq_q75-d-pb3_flux_ratio_sq_q75,0.029491833030852992,0.024007209126403226,0.05349904215725622
