feature,split,gain,total
f001_hostgal_specz,1.0,0.9117557782250718,1.9117557782250718
f014_detected_dates,0.45561054438945564,1.0,1.4556105443894556
f701_hostgal_specz,0.4862135137864862,0.42224519252634235,0.9084587063128285
f001_hostgal_photoz,0.17422482577517423,0.10611164657570855,0.28033647235088277
f001_distmod,0.12978487021512977,0.09673133460002863,0.22651620481515838
f015_pb5_flux_norm1_max,0.06261993738006262,0.1449609456323932,0.2075808830124558
f002_flux_norm1_mean,0.10514089485910513,0.09065642532023986,0.19579732017934498
f012_pb0_flux_norm2_mean-d-pb5_flux_norm2_mean,0.02181597818402182,0.12505167394901337,0.14686765213303518
f011_pb0_flux_norm1_fft_max_amp,0.06443793556206444,0.07115370522741031,0.13559164078947475
f003_pb1_detected_std-d-mean,0.015553984446015554,0.1171184624053642,0.13267244685137974
f002_flux_std-d-mean,0.03312796687203312,0.08917343563996785,0.12230140251200097
f012_pb2_flux_norm2_mean-d-pb5_flux_norm2_mean,0.04282395717604282,0.06790069254739654,0.11072464972343937
f009_pb5_flux_norm1_mean,0.03545096454903545,0.0709839185867509,0.10643488313578636
f012_pb0_flux_norm2_mean-d-pb4_flux_norm2_mean,0.013533986466013535,0.08966415163049553,0.10319813809650906
f003_pb1_detected_mean,0.011513988486011513,0.08618213997800231,0.09769612846401382
f014_flux_norm1_std,0.06827593172406826,0.02788761285230618,0.09616354457637444
f015_pb3_flux_norm2_max-d-pb5_flux_norm2_max,0.034743965256034744,0.06092248228794102,0.09566644754397577
f015_pb0_flux_norm2_max,0.022623977376022623,0.06730456904872192,0.08992854642474454
f009_pb0_flux_norm1_mean,0.03565296434703565,0.051528726356075236,0.08718169070311088
f015_pb0_flux_norm2_max-d-pb2_flux_norm2_max,0.011412988587011414,0.07456619523370984,0.08597918382072126
f012_pb5_flux_norm1_q75,0.054337945662054334,0.027569669203348923,0.08190761486540325
f003_pb1_flux_q75-d-pb4_flux_q75,0.04373295626704373,0.03623732540113409,0.07997028166817782
f006_flux_norm1_q75,0.04908595091404909,0.02840787816597146,0.07749382908002055
f003_pb1_flux_norm2_q75-d-pb3_flux_norm2_q75,0.05565094434905565,0.020576174678734422,0.07622711902779007
f015_pb3_flux_max-d-pb5_flux_max,0.03141096858903141,0.04368119866708674,0.07509216725611814
f015_pb3_flux_norm1_max-d-pb5_flux_norm1_max,0.022320977679022323,0.051044282856648776,0.0733652605356711
f012_pb2_flux_norm2_q75-d-pb5_flux_norm2_q75,0.03423896576103424,0.03868713931979191,0.07292610508082614
f003_pb1_flux_q75-d-pb3_flux_q75,0.04373295626704373,0.028041070405784203,0.07177402667282794
f012_pb0_flux_mean-d-pb5_flux_mean,0.0204019795980204,0.05108840183464507,0.07149038143266546
f011_pb1_flux_norm1_fft_max_amp,0.037975962024037975,0.02943410695678332,0.0674100689808213
f009_pb3_flux_norm1_median,0.030905969094030906,0.03435343874678637,0.06525940784081727
f006_flux_std-d-mean,0.035955964044035955,0.029128645139456028,0.06508460918349199
f012_pb2_flux_max-d-min,0.04615695384304616,0.01695149088066517,0.06310844472371133
f012_pb5_flux_norm1_max,0.04363195636804364,0.01935831465428859,0.06299027102233223
f012_pb5_flux_norm1_mean,0.032622967377032616,0.030217342474463386,0.062840309851496
f012_pb3_flux_norm2_mean-d-pb5_flux_norm2_mean,0.032824967175032825,0.029297412658039257,0.06212237983307208
f003_pb1_flux_q75-d-pb5_flux_q75,0.03524896475103525,0.02671490558375153,0.06196387033478678
f006_flux_kurt,0.03625896374103626,0.02569390479197745,0.06195286853301371
f012_pb2_flux_norm1_q25,0.0402989597010403,0.020990615214379126,0.06128957491541942
