feature,split,gain,total
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.9827742520398913,1.0,1.9827742520398912
fbk1-007_pb5_flux_q25,0.3526745240253853,0.8627893515190042,1.2154638755443894
f014_detected_dates,1.0,0.10807685307096132,1.1080768530709613
f014_flux_norm1_min,0.6690843155031732,0.4085581357946192,1.0776424512977925
fbk1-008_pb2_flux_min,0.5747960108794198,0.07822086916626704,0.6530168800456868
f009_pb2_flux_q75,0.5294650951949229,0.07452236240422924,0.6039874575991522
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.21668177697189483,0.3071834855225619,0.5238652624944568
f003_pb0_flux_min-d-pb2_flux_min,0.3508612873980055,0.11400043719464949,0.46486172459265496
f015_pb5_flux_max-d-min,0.27379873073436084,0.1862223082187799,0.4600210389531407
fbk1-007_pb2_flux_median,0.29737080689029916,0.14420724726111941,0.4415780541514186
fbk1-007_pb1_flux_std,0.2964641885766093,0.1321189805514955,0.4285831691281048
fbk1-008_pb4_flux_min,0.2819582955575703,0.10825664773329012,0.3902149432908604
f014_flux_min,0.2919310970081596,0.08495860076460408,0.3768896977727637
f006_flux_kurt,0.33363553943789664,0.04073467850900532,0.37437021794690195
f008_pb2_flux_norm2_chng_abs_median,0.31278331822302813,0.05772702247411522,0.37051034069714334
f010_pb5_flux_norm2_std-d-mean,0.2701722574796011,0.09908732430720768,0.3692595817868088
f013_detected_std-d-mean,0.3272892112420671,0.0407373397341196,0.3680265509761867
f003_pb1_flux_err_min-d-pb4_flux_err_min,0.11514052583862194,0.25252224729892714,0.3676627731375491
f003_pb1_flux_err_min-d-pb3_flux_err_min,0.18041704442429737,0.14040097440441537,0.32081801882871275
f013_date_diff_median,0.24478694469628287,0.07532201007079947,0.32010895476708234
f006_flux_norm1_q75,0.257479601087942,0.053555925083545355,0.31103552617148733
f008_pb2_flux_diff_abs_median,0.1931097008159565,0.10749941305042665,0.3006091138663831
f015_pb5_flux_norm1_max-d-min,0.21124206708975524,0.08785796821184094,0.2991000353015962
f003_pb2_flux_err_q25-d-pb5_flux_err_q25,0.11876699909338169,0.1699160547992346,0.2886830538926163
f006_flux_q75,0.22937443336355395,0.048259959911915,0.27763439327546896
f003_pb2_flux_err_min-d-pb4_flux_err_min,0.17407071622846781,0.10040237936629315,0.27447309559476096
fbk1-007_pb3_flux_median,0.1260199456029012,0.1296289154580198,0.255648861060921
fbk1-007_pb5_flux_std-d-mean,0.16137805983680872,0.08367489783727412,0.24505295767408286
f014_flux_norm1_max-d-min,0.21124206708975524,0.03264703521870409,0.24388910230845934
f014_flux_err_std-d-mean,0.18495013599274704,0.03336540546839202,0.21831554146113907
fbk1-008_pb5_flux_min,0.1414324569356301,0.07205066211647355,0.21348311905210365
f010_pb5_flux_q25,0.19038984587488667,0.009545387204301665,0.19993523307918834
f010_pb5_flux_norm2_min,0.06527651858567543,0.12943151370136244,0.19470803228703787
f014_flux_norm1_max,0.185856754306437,0.006544294408599358,0.19240104871503635
f006_detected_std-d-mean,0.17951042611060744,0.01193981631224043,0.19145024242284786
f005_pb1_y2_flux_norm2_std-d-mean,0.14233907524932005,0.044532234401762724,0.18687130965108278
f003_pb2_flux_err_min-d-pb3_flux_err_min,0.171350861287398,0.013879416288180709,0.1852302775755787
f006_flux_std-d-mean,0.16681776971894832,0.01001583759577284,0.17683360731472117
f006_flux_norm1_kurt,0.15593834995466907,0.01576565236743353,0.1717040023221026
f011_pb4_flux_fft_max_peri,0.13327289211242066,0.03548842180154907,0.16876131391396973
f013_detected_kurt,0.15321849501359927,0.012815324587825826,0.1660338196014251
f014_flux_err_max-d-min,0.1541251133272892,0.011030419137318306,0.1651555324646075
f015_pb3_flux_min-d-pb5_flux_min,0.128739800543971,0.03500708523884351,0.1637468857828145
f003_pb2_flux_q75,0.1214868540344515,0.04187530454700174,0.16336215858145325
f003_pb1_flux_norm2_min-d-pb2_flux_norm2_min,0.13961922030825025,0.019109585432134223,0.15872880574038448
f011_pb3_flux_fft0_amp-d-pb5_flux_fft0_amp,0.15049864007252947,0.005865416238570608,0.1563640563111001
f003_pb4_flux_min-d-pb5_flux_min,0.14233907524932005,0.012555543686587777,0.15489461893590784
