feature,split,gain,total
f014_detected_dates,1.0,1.0,2.0
f001_hostgal_photoz,0.769280205655527,0.4168379697368607,1.1861181753923877
f014_d1_lumi_min,0.32696015424164526,0.666183494251957,0.9931436484936023
f001_hostgal_photoz_err,0.5872429305912596,0.3204886292558851,0.9077315598471447
f002_lumi_std-d-mean,0.2827763496143959,0.5558965035218171,0.838672853136213
f002_lumi_kurt,0.5404884318766067,0.2494975402177949,0.7899859720944016
f013_lumi_q10,0.04113110539845759,0.7323259505458314,0.7734570559442889
f003_pb0_lumi_std-d-pb4_lumi_std,0.05559125964010283,0.6749813026706034,0.7305725623107062
f002_lumi_max-m-min-d-mean,0.38849614395886894,0.2920457963170181,0.680541940275887
fbk1-007_pb5_flux_min,0.10250642673521851,0.5465980104952378,0.6491044372304563
f003_pb2_flux_min-d-pb5_flux_min,0.543862467866324,0.010657089350491785,0.5545195572168158
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.2337724935732648,0.31613194504886616,0.549904438622131
f013_lumi_min,0.03888174807197944,0.5038802201765991,0.5427619682485785
f003_pb1_flux_q75-m-q25,0.03406169665809769,0.4438895742014699,0.47795127085956757
f014_d1_flux_min,0.26317480719794345,0.17684506085418286,0.44001986805212634
f013_lumi_median,0.017352185089974295,0.3866263020483662,0.40397848713834045
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.17577120822622108,0.20275794763852684,0.3785291558647479
f003_pb2_flux_q75-m-q25,0.0734254498714653,0.3023168932411187,0.37574234311258403
f003_pb2_lumi_q10-d-pb5_lumi_q10,0.12258997429305912,0.19028499246397473,0.31287496675703386
f014_d1_lumi_max-d-min,0.18460796915167096,0.12058039235579839,0.30518836150746936
f015_pb0_d1_flux_max-d-pb2_d1_flux_max,0.3022172236503856,0.002127142886831249,0.30434436653721686
f002_a_2__skewness,0.24341259640102827,0.04510446246116114,0.2885170588621894
f017_pb0_lumi_median-d-pb5_lumi_median,0.06314267352185089,0.2106875637494093,0.2738302372712602
fbk1-006_pb2_flux_min,0.08868894601542417,0.18223948395756298,0.27092842997298716
f003_pb0_flux_min-d-pb2_flux_min,0.23088046272493573,0.038957015534992874,0.2698374782599286
f002_flux_kurt,0.2602827763496144,0.007292040821865492,0.2675748171714799
f015_pb5_d1_lumi_q75,0.013174807197943445,0.24095307623496023,0.25412788343290366
f014_d1_flux_max-d-min,0.19987146529562982,0.04632847075518165,0.24619993605081147
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.16998714652956298,0.07004910258082629,0.2400362491103893
f015_pb5_d1_lumi_q25,0.01269280205655527,0.22710553630757044,0.2397983383641257
f003_pb1_flux_q25,0.03293701799485861,0.20232306263682748,0.23526008063168607
f015_pb5_d1_flux_max-d-min,0.044665809768637536,0.18770664479733765,0.2323724545659752
f017_pb0_lumi_mean-d-pb4_lumi_mean,0.02442159383033419,0.19904597632104998,0.22346757015138416
f015_pb2_detected_dates_max-m-min,0.21352827763496146,0.0077145671748575515,0.221242844809819
f010_pb2_flux_min-d-pb5_flux_min,0.20951156812339333,0.0019040295113406974,0.21141559763473403
f015_pb3_detected_dates_max-m-min,0.20308483290488433,0.0027347164105512457,0.20581954931543558
fbk1-007_pb5_flux_max-d-min,0.03149100257069409,0.17075489887756667,0.20224590144826077
f003_pb0_flux_q10-d-pb5_flux_q10,0.02634961439588689,0.1756529167389908,0.2020025311348777
