feature,split,gain,total
f014_detected_dates,1.0,1.0,2.0
f002_flux_by_flux_ratio_sq_skew,0.8411608329641117,0.15135290124381573,0.9925137342079274
f002_lumi_std-d-mean,0.5425343376163049,0.4085146885970675,0.9510490262133724
f001_hostgal_photoz,0.6451041205139566,0.22574536543837725,0.8708494859523339
f001_hostgal_photoz_err,0.6092157731501994,0.162167871213316,0.7713836443635154
f002_lumi_max-m-min-d-mean,0.3817013735046522,0.1889425146541166,0.5706438881587688
f003_pb0_lumi_max-d-pb5_lumi_max,0.13402747009304386,0.2804550784718285,0.4144825485648723
f014_d1_flux_norm3_min,0.17434647762516617,0.22988313697730947,0.40422961460247564
f010_pb5_flux_norm2_min,0.06933983163491361,0.3158279175053496,0.3851677491402632
f002_lumi_kurt,0.27270713336287106,0.10602871749205343,0.3787358508549245
f013_lumi_median,0.03566681435533895,0.30238838838243576,0.33805520273777473
f002_lumi_mean,0.15175011076650421,0.17644845589864155,0.3281985666651458
f013_lumi_q25,0.044749667700487376,0.26633128801085026,0.31108095571133765
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.18542312804607888,0.11673548040174518,0.30215860844782405
f013_flux_ratio_sq_std-d-mean,0.08551174124944617,0.18609287446409606,0.2716046157135422
f003_pb1_lumi_q10-d-pb5_lumi_q10,0.04851572884359769,0.21824921458861604,0.26676494343221374
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.20646876384581303,0.04799978057609994,0.25446854442191297
f003_pb1_flux_q75-m-q25,0.026805494018608773,0.21658845252985295,0.24339394654846172
f010_pb2_flux_by_flux_ratio_sq_q10-d-pb5_flux_by_flux_ratio_sq_q10,0.24213557820115197,0.0010557332647753341,0.24319131146592732
f014_d1_lumi_max-d-min,0.19251218431546302,0.04888341448543877,0.24139559880090178
f015_pb5_d1_lumi_mean,0.011076650420912717,0.22621931309270304,0.23729596351361576
f003_pb0_lumi_std-d-pb4_lumi_std,0.054718653079308816,0.179873469304582,0.23459212238389082
f015_pb5_d1_flux_norm1_max-d-min,0.027913159060700046,0.2005909769760287,0.22850413603672876
f003_pb2_flux_err_q25-d-pb4_flux_err_q25,0.15396544085068675,0.06797333459228132,0.22193877544296808
f003_pb0_lumi_max-d-pb4_lumi_max,0.08285334514842711,0.13707031282621313,0.21992365797464025
f013_lumi_max-d-min,0.1455471865307931,0.06559386570580239,0.2111410522365955
f003_pb0_lumi_max,0.1304829419583518,0.0756768885608803,0.2061598305192321
f014_d0_flux_ratio_sq_q75,0.1745680106335844,0.022353394605656784,0.19692140523924118
f014_d1_lumi_max,0.10943730615861763,0.07502513449352209,0.18446244065213974
f003_pb2_lumi_q10-d-pb5_lumi_q10,0.05183872396987151,0.12932346963541158,0.1811621936052831
f003_pb0_flux_ratio_sq_q75,0.1708019494904741,0.0044136158202886695,0.17521556531076277
