feature,split,gain,total,null_imp,total_null
f014_detected_dates,0.9741428300814547,1.0,1.9741428300814547,0.12307935279002227,1.8510634772914325
f001_hostgal_photoz_err,1.0,0.8760042267641752,1.8760042267641752,0.18183316638850225,1.694171060375673
f002_lumi_std-d-mean,0.5956620572078045,0.8294935460823318,1.4251556032901362,0.09171633047709456,1.3334392728130418
f014_d1_lumi_min,0.5583443834059482,0.805342523361905,1.3636869067678532,0.0588346662671405,1.3048522405007128
f002_flux_by_flux_ratio_sq_skew,0.7029740481151734,0.6464379590379521,1.3494120071531257,0.1148451731011496,1.2345668340519762
f013_lumi_q10,0.023205152491002086,0.9517866783099659,0.974991830800968,0.01848475494486676,0.9565070758561012
f010_pb5_flux_norm2_min,0.16622466376207615,0.6263104929839348,0.7925351567460109,0.005764664700753307,0.7867704920452576
f003_pb0_lumi_std-d-pb4_lumi_std,0.0900738776283387,0.741316051332757,0.8313899289610958,0.05510925912540406,0.7762806698356917
f003_pb1_flux_q75-m-q25,0.04281113847319568,0.6809938332121781,0.7238049716853738,0.13133730945358618,0.5924676622317877
f014_d1_lumi_max-d-min,0.3566963440045464,0.2771780885290765,0.6338744325336229,0.08455204084451848,0.5493223916891044
f002_lumi_kurt,0.4541579844667551,0.18539854106484527,0.6395565255316005,0.09401801174809568,0.5455385137835048
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.14150407274104945,0.4025323128859028,0.5440363856269522,0.09942250609116604,0.4446138795357862
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.19833301761697286,0.3811936480113531,0.579526665628326,0.13664941845455378,0.4428772471737722
f002_lumi_max-m-min-d-mean,0.22987308202311044,0.3059997557828808,0.5358728378059913,0.09608672530146543,0.4397861125045258
f003_pb2_lumi_q90-m-q10,0.04243227884068952,0.4266688659805985,0.469101144821288,0.05159916920238421,0.4175019756189038
f014_d1_flux_norm3_min,0.16612994885394966,0.30973555551295695,0.4758655043669066,0.06918750585022751,0.4066779985166791
f013_lumi_q25,0.025667740102292103,0.3283686424881428,0.3540363825904349,0.01945704042629913,0.33457934216413576
f015_pb5_d1_flux_norm2_max-d-min,0.039306686872513735,0.32679826764716713,0.3661049545196808,0.0858703415149652,0.2802346130047156
f002_flux_ratio_sq_max-m-min-d-mean,0.34769842773252513,0.005318183808834711,0.3530166115413598,0.0998721648757622,0.25314444666559766
f015_pb5_d1_lumi_mean,0.01288122750520932,0.2690902962864423,0.2819715237916516,0.05096977957624682,0.23100174421540476
f017_pb0_flux_ratio_sq_max-d-pb5_flux_ratio_sq_max,0.44809623034665663,0.003868422555604429,0.451964652902261,0.2222031873579406,0.22976146554432042
f017_pb0_lumi_median-d-pb5_lumi_median,0.06620572078045085,0.2468011909597832,0.31300691174023404,0.11422858589084554,0.19877832584938848
f015_pb1_d1_lumi_min,0.08476984277325253,0.18856139222907528,0.2733312350023278,0.0810067193574909,0.1923245156448369
f002_lumi_mean,0.0900738776283387,0.13890377478295465,0.22897765241129334,0.04082539655157463,0.1881522558597187
f003_pb2_flux_q75-m-q25,0.03807539306686873,0.2224754891832202,0.2605508822500889,0.08796146397493676,0.17258941827515212
f017_pb5_lumi_q10,0.04214813411630991,0.20369591874385945,0.24584405286016936,0.07843862118643599,0.16740543167373337
f015_pb1_d0_lumi_std,0.03343436256866831,0.16600021912686394,0.19943458169553224,0.03453243583871534,0.1649021458568169
f015_pb5_d1_flux_norm1_max,0.18175790869482855,0.0483153596205552,0.23007326831538374,0.06764475784860663,0.16242851046677712
f015_pb5_d1_flux_max-d-min,0.02064784997158553,0.20582660091197175,0.2264744508835573,0.0642976648754318,0.16217678600812552
f003_pb5_lumi_mean,0.06412199280166699,0.1512096085968691,0.21533160139853608,0.06031926710360794,0.15501233429492814
f013_lumi_min,0.025478310286039026,0.14732479505000276,0.1728031053360418,0.024527008774766258,0.14827609656127552
f014_d1_flux_norm1_min,0.14103049820041674,0.09628995551649704,0.23732045371691385,0.0995886624906606,0.13773179122625323
f015_pb1_d0_lumi_max,0.06336427353665468,0.13160544955347858,0.19496972309013327,0.06338603374519071,0.13158368934494258
f003_pb0_flux_norm2_q25-d-pb1_flux_norm2_q25,0.03580223527183179,0.28212732849782635,0.3179295637696581,0.18637919869596686,0.13155036507369122
f003_pb1_lumi_std,0.05304034855086191,0.11980872811961618,0.17284907667047808,0.04351572966766842,0.12933334700280966
f014_d1_lumi_max,0.07937109301003978,0.07123462015310551,0.1506057131631453,0.021443979866145896,0.1291617332969994
f013_flux_ratio_sq_std-d-mean,0.1205720780450843,0.15046039391331914,0.27103247195840346,0.14610344456431673,0.12492902739408673
