feature,split,gain,total
f001_hostgal_photoz,0.9302832244008715,1.0,1.9302832244008714
f001_hostgal_photoz_err,1.0,0.7929789475215304,1.7929789475215303
f014_detected_dates,0.8965141612200436,0.30918089873888455,1.205695059958928
f014_d1_flux_norm3_min,0.2167755991285403,0.838809971946245,1.0555855710747852
f002_lumi_max-m-min-d-mean,0.1851851851851852,0.8120576893154408,0.997242874500626
f002_lumi_std-d-mean,0.17538126361655776,0.47285948112365217,0.6482407447402099
f002_lumi_kurt,0.30827886710239655,0.3039058554795485,0.612184722581945
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.23311546840958605,0.3730381918710163,0.6061536602806024
f002_flux_by_flux_ratio_sq_skew,0.18082788671023967,0.39654561332821636,0.577373500038456
f010_pb5_flux_norm2_min,0.03376906318082789,0.49640423787716625,0.5301733010579941
f003_pb1_flux_q75-m-q25,0.06100217864923747,0.366729787676191,0.4277319663254285
f014_d0_flux_ratio_sq_q75,0.224400871459695,0.17586162559773527,0.4002624970574303
f014_d1_lumi_min,0.06100217864923747,0.3108604171849848,0.37186259583422226
f014_d1_lumi_max,0.2788671023965142,0.07945815726549006,0.35832525966200424
f003_pb0_lumi_std-d-pb4_lumi_std,0.06971677559912855,0.2752914925213405,0.34500826812046903
f014_d1_flux_norm1_min,0.04357298474945534,0.2897494536226328,0.3333224383720882
f003_pb1_lumi_q75-m-q25,0.1568627450980392,0.16575100772698076,0.32261375282502
f003_pb1_flux_ratio_sq_median,0.2047930283224401,0.08406998313153047,0.28886301145397053
f002_lumi_max,0.16122004357298475,0.11874890421133659,0.27996894778432135
f015_pb1_d0_lumi_max,0.0860566448801743,0.18524777468535938,0.2713044195655337
f006_flux_norm1_q90,0.037037037037037035,0.23267099161136756,0.2697080286484046
f003_pb1_lumi_q75,0.10675381263616558,0.15703038382829754,0.2637841964644631
f026_pb3_date_diff_0.3,0.23093681917211328,0.02856898344827196,0.25950580262038525
f027_lumi_std,0.12418300653594772,0.12421961333572323,0.24840261987167095
f006_flux_by_flux_ratio_sq_q90,0.2189542483660131,0.023723570312971468,0.24267781867898458
f003_pb4_lumi_mean,0.10675381263616558,0.13145763820357978,0.23821145083974538
f010_pb5_flux_q75-m-q25,0.04030501089324619,0.1940000160880486,0.2343050269812948
f006_lumi_std-d-mean,0.11437908496732027,0.09281890711015037,0.20719799207747064
f014_d1_flux_norm3_max-d-min,0.05555555555555555,0.14538605713645084,0.2009416126920064
f003_pb0_lumi_max,0.10348583877995643,0.09468391709993508,0.1981697558798915
f014_d1_lumi_std,0.13725490196078433,0.05497600537948792,0.19223090734027226
f003_pb1_lumi_max-m-min,0.16122004357298475,0.028868513221140903,0.19008855679412565
f015_pb3_d1_lumi_max-d-min,0.014161220043572986,0.17016174554019683,0.18432296558376982
f018_pb2_flux_norm1_q25,0.1318082788671024,0.05164657591288529,0.18345485477998769
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.10566448801742918,0.07611286898423884,0.18177735700166803
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.02396514161220044,0.15655963209159154,0.180524773703792
f014_d0_flux_ratio_sq_q75-m-q25,0.11002178649237472,0.06800418889523072,0.17802597538760545
f003_pb1_lumi_q90,0.15468409586056645,0.022512989150007774,0.1771970850105742
f006_lumi_kurt,0.12636165577342048,0.04642005172709632,0.1727817075005168
f002_a_2__skewness,0.14052287581699346,0.02539676003390387,0.16591963585089733
f014_d0_flux_ratio_sq_median,0.08714596949891068,0.07716539386431957,0.16431136336323027
f003_pb0_lumi_mean-d-pb3_lumi_mean,0.06427015250544663,0.09727928917768129,0.1615494416831279
f015_pb5_d1_flux_max-d-min,0.03594771241830065,0.12529327470839963,0.16124098712670026
f015_pb5_d1_flux_norm2_max-d-min,0.0784313725490196,0.0808195674351971,0.1592509399842167
f017_pb5_flux_norm1_mean,0.12418300653594772,0.028897191319852876,0.1530801978558006
f013_flux_ratio_sq_std-d-mean,0.09041394335511983,0.06237475013740623,0.15278869349252605
f013_lumi_q75-m-q25,0.10784313725490197,0.04493520222509702,0.15277833947999897
f002_flux_by_flux_ratio_sq_std-d-mean,0.10239651416122005,0.0499350966966195,0.15233161085783956
f003_pb2_flux_q75-m-q25,0.07734204793028322,0.07432953090670714,0.15167157883699037
fbk1-007_pb5_flux_min,0.004357298474945534,0.1457788033987198,0.15013610187366533
f014_d1_lumi_q90,0.0729847494553377,0.06587709610855563,0.13886184556389333
f003_pb0_flux_ratio_sq_q75-d-pb3_flux_ratio_sq_q75,0.11328976034858389,0.025244767735453373,0.13853452808403727
f026_pb4_date_diff_0.3,0.12309368191721135,0.01417970214288408,0.13727338406009543
f018_pb5_flux_max,0.11437908496732027,0.021565413912250003,0.13594449887957027
