feature,split,gain,total
f001_hostgal_specz,1.0,1.0,2.0
f001_hostgal_photoz,0.2550512517248177,0.21936370472807817,0.4744149564528959
f006_pb0_flux_mean,0.12870835797358565,0.24055156244448744,0.3692599204180731
f001_distmod,0.19179972402917408,0.17115370530148952,0.3629534293306636
f006_pb0_flux_max,0.1322935146855904,0.22215112486467212,0.3544446395502625
f007_pb2_flux_max,0.16502808988764045,0.13132818615411113,0.2963562760417516
f007_pb5_flux_max,0.14656022077666075,0.10648877738733029,0.25304899816399107
f006_pb5_flux_max,0.12937364478612262,0.11698205246386593,0.24635569724998857
f004_pb1_detected_mean,0.05169524935935344,0.1839259502514226,0.23562119961077604
f004_pb1_detected_std-d-mean,0.06458210132071752,0.1704522453954433,0.2350343467161608
f007_pb1_flux_max,0.13743100729351468,0.08488060807264475,0.22231161536615943
f007_pb0_flux_max,0.10634732899664892,0.10791915207591278,0.2142664810725617
f007_pb5_flux_std,0.1207618766016164,0.09145967579670312,0.21222155239831952
f006_pb1_flux_q75,0.13388281095998425,0.06737172019724176,0.20125453115722602
f006_pb0_flux_std,0.1107702542874039,0.08879341583622338,0.1995636701236273
f006_pb1_flux_mean,0.11181746501084172,0.07987777569660323,0.19169524070744495
f006_pb2_flux_max,0.10977232406859846,0.07475180839802881,0.18452413246662727
f004_pb1_flux_q75,0.11303715750049281,0.07028268620726451,0.18331984370775734
f005_detected_mean_max,0.02473881332544845,0.15532517006783944,0.18006398339328789
f007_pb0_flux_std,0.0717277744924108,0.10791826364639333,0.17964603813880414
f010_pb_sum_std-d-mean,0.04807313226887444,0.11388180686376745,0.1619549391326419
f006_pb1_flux_std,0.09619554504238124,0.0583134552939037,0.15450900033628495
f006_pb3_flux_max,0.10031046717918392,0.052209966967494165,0.1525204341466781
f002_flux_std-d-mean,0.03952296471515868,0.10888645489405481,0.1484094196092135
f006_pb5_flux_mean,0.0746106840134043,0.07077653427079526,0.14538721828419957
f008_pb4_flux_mean,0.08142371377882911,0.05986025808308794,0.14128397186191705
f007_pb3_flux_max,0.09440912674945791,0.04650649005430469,0.1409156168037626
f010_pb_max_mean,0.07018775872264932,0.06952611885383095,0.13971387757648027
f004_pb1_flux_min,0.07379755568697023,0.06528095194154185,0.1390785076285121
f005_flux_q75_min,0.0903558052434457,0.04430335827064815,0.13465916351409385
f004_pb2_detected_std-d-mean,0.08503351074315,0.04757554377210592,0.13260905451525593
f010_pb_sum_mean,0.06846294106051647,0.06263164801218651,0.131094589072703
f001_hostgal_photoz_err,0.10288537354622512,0.028164614954868945,0.13104998850109406
f006_pb2_flux_median,0.08296372954859059,0.04302464029731723,0.12598836984590783
f006_pb2_flux_q75,0.07759215454366253,0.048242833168368984,0.1258349877120315
f008_pb2_flux_q75,0.08390005913660556,0.04142656717704085,0.1253266263136464
f008_pb2_flux_mean,0.09028188448649715,0.034734447980012066,0.12501633246650923
f005_detected_std-d-mean_min,0.023950325251330576,0.10044609622215206,0.12439642147348264
f006_pb4_flux_mean,0.0614404691504041,0.060148421359058415,0.12158889050946252
f006_pb1_flux_max,0.08013010053222946,0.034852077960860324,0.11498217849308978
f004_pb2_flux_median,0.0823230829883698,0.03215478068114058,0.11447786366951038
f005_detected_std-d-mean_std,0.09050364675734279,0.023270617357336567,0.11377426411467936
f010_pb_median_mean,0.056167455154740795,0.05545304290555598,0.11162049806029678
f006_pb5_flux_std,0.07275034496353243,0.03758711438604947,0.11033745934958189
f005_flux_std-d-mean_median,0.06593731519810764,0.04415767611467775,0.11009499131278538
f010_pb3-m-pb5_mean,0.07909520993494974,0.02964588813544589,0.10874109807039563
f010_pb_max_std-d-mean,0.05001971220185295,0.058451481328846276,0.10847119353069923
f005_flux_min_max,0.06338704908338262,0.044545145300643255,0.10793219438402588
f010_pb3_diff_std,0.08446678493987779,0.022361991807087343,0.10682877674696513
f008_pb1_flux_q75,0.0749186871673566,0.031573173705908966,0.10649186087326556
f009_pb0_flux_std-d-mean,0.06843830080820028,0.03773309258186852,0.1061713933900688
f006_pb4_flux_max,0.07236842105263158,0.03199359895880449,0.10436202001143607
f010_pb2_diff_std,0.07939089296274394,0.024364570695003793,0.10375546365774774
f004_pb2_flux_q75,0.07473388527498522,0.028277648327968512,0.10301153360295373
f008_pb3_flux_mean,0.06965799329785137,0.03289899332839955,0.10255698662625093
f006_pb3_flux_q75,0.07478316577961759,0.027769762518539673,0.10255292829815726
f010_pb_std_std-d-mean,0.07760447466982062,0.02345359601788783,0.10105807068770845
f009_pb3_flux_std,0.06853686181746502,0.031895809431866005,0.10043267124933103
f006_pb0_flux_q75,0.07208505815099547,0.027655293285818866,0.09974035143681434
f010_pb3_diff_std-d-mean,0.08041346343386556,0.0186956511725668,0.09910911460643236
f004_pb2_flux_std-d-mean,0.06864774295288784,0.02757217782394767,0.0962199207768355
f004_pb0_flux_q75,0.06532130889020304,0.030690603040027638,0.09601191193023068
f008_pb1_flux_mean,0.06715700768775873,0.028549517031318538,0.09570652471907727
f008_pb4_flux_q75,0.06454514094224326,0.030726648520896214,0.09527178946313947
f008_pb2_flux_median,0.06698452592154544,0.028060917997222906,0.09504544391876835
f010_pb2_diff_std-d-mean,0.07569485511531639,0.018332369238868506,0.0940272243541849
f008_pb3_flux_std,0.06666420264143505,0.024824100208080322,0.09148830284951537
f010_pb_max_diff_max,0.07070520402128919,0.02041395058554671,0.0911191546068359
f008_pb0_flux_q75,0.06434801892371378,0.023950980361721667,0.08829899928543544
f004_pb5_flux_std,0.05107924305144885,0.03667099173048164,0.08775023478193049
f008_pb0_flux_mean,0.061391188645771734,0.025016257136546635,0.08640744578231838
f010_pb_mean_mean,0.043157401931795784,0.04269592636722102,0.0858533282990168
f004_pb5_detected_std-d-mean,0.05755962941060517,0.028226317020317998,0.08578594643092316
f010_pb2-m-pb4_mean,0.056389217425586446,0.02824797863369977,0.08463719605928621
f004_pb2_detected_mean,0.035802286615414944,0.04735292553561827,0.08315521215103322
f007_pb1_flux_std,0.056155135028582694,0.026241835654436916,0.08239697068301961
f007_pb4_flux_max,0.061107825744135626,0.02089726900124896,0.08200509474538459
f008_pb3_flux_q75,0.05843435836782969,0.019296016845563226,0.07773037521339292
f007_pb0_flux_std-d-mean,0.05732554701360142,0.019810946788713625,0.07713649380231505
f009_pb2_flux_std,0.0591735659373152,0.01770753404522379,0.07688109998253899
f010_pb_std_std,0.059962054011433084,0.016642257220061248,0.07660431123149433
f009_pb4_flux_std,0.0555514488468362,0.020574940255371616,0.07612638910220781
f004_pb4_flux_q75,0.05643849793021881,0.019639501062832465,0.07607799899305127
f007_pb4_flux_std,0.05029075497733097,0.025477038614373154,0.07576779359170413
f009_pb4_flux_q75,0.04633599448058348,0.029015359378838947,0.07535135385942243
f005_flux_std_std,0.0428247585255273,0.032334501925548674,0.07515926045107597
f004_pb3_flux_q75,0.05636457717327026,0.01819280828411214,0.0745573854573824
f010_pb2-m-pb3_min,0.05348166765227676,0.02101426680176034,0.0744959344540371
f004_pb3_flux_std-d-mean,0.05525576581904199,0.018656633789030614,0.07391239960807261
f008_pb4_flux_median,0.055181845062093435,0.018400270089630143,0.07358211515172358
f004_pb4_flux_std-d-mean,0.053506307904592945,0.020047245143657615,0.07355355304825056
f008_pb1_flux_median,0.05280406071358171,0.020603082628545853,0.07340714334212756
f004_pb1_flux_median,0.05369110979696432,0.019556489138606317,0.07324759893557065
f005_flux_max_std,0.041876108811354236,0.031000362958328677,0.07287647176968291
f008_pb4_flux_std,0.05345702739996058,0.019110023927961604,0.07256705132792218
f010_pb_mean_std-d-mean,0.031009757539917214,0.04147573899369614,0.07248549653361336
f010_pb3-m-pb5_median,0.05493544253893161,0.01647855553254685,0.07141399807147845
f010_pb2_diff_min,0.054701360141927856,0.016523969088608776,0.07122532923053664
f004_pb5_flux_mean,0.040718016952493594,0.029824871320834844,0.07054288827332844
f004_pb2_flux_q25,0.053900551941651886,0.016493697520091753,0.07039424946174364
f004_pb5_detected_mean,0.04100137985412971,0.02915199901684298,0.07015337887097269
f004_pb3_flux_q25,0.054652079637295486,0.014654776153234718,0.0693068557905302
f006_pb2_flux_std,0.04965010841711019,0.019477021859656413,0.0691271302767666
f009_pb2_flux_mean,0.04436477429528878,0.024491279816483896,0.06885605411177267
f010_pb_mean_diff_max,0.0525206978119456,0.015705757465705697,0.0682264552776513
f010_pb3_diff_max-d-min,0.055576089099152376,0.012467313191048839,0.06804340229020121
f010_pb_median_diff_max,0.05259461856889414,0.01506907741921874,0.06766369598811288
f006_pb1_flux_median,0.05031539522964716,0.017121750379093942,0.0674371456087411
f010_pb2_diff_max-d-min,0.05412231421249754,0.01301861234552852,0.06714092655802606
f004_pb3_detected_std-d-mean,0.05237285629804849,0.014749006659050072,0.06712186295709856
f004_pb0_flux_err_std-d-mean,0.054430317366449835,0.01260358031466137,0.0670338976811112
f010_pb_max_std,0.0413217031342401,0.02523443094111267,0.06655613407535277
f009_pb1_flux_std,0.05041395623891189,0.015757683254163917,0.0661716394930758
f005_flux_max-d-min_std,0.04368716735659373,0.02162203495304645,0.06530920230964019
f010_pb2-m-pb4_median,0.04887394046915041,0.01633340861816239,0.0652073490873128
f010_pb_median_std-d-mean,0.027843485117287604,0.03687905388322085,0.06472253900050845
f004_pb0_flux_max,0.04541198501872659,0.018857682480979736,0.06426966749970633
f007_pb0_flux_max-d-min,0.04992115119258822,0.014195589158161418,0.06411674035074964
f006_pb1_flux_q25,0.049366745515474084,0.014538742958907568,0.06390548847438166
f010_pb5_diff_std-d-mean,0.051609008476246804,0.012024877299603243,0.06363388577585005
f008_pb2_flux_std,0.05013059333727577,0.01305326913251657,0.06318386246979234
f010_pb2-m-pb5_mean,0.04531342400946186,0.017811096254391208,0.06312452026385307
f010_pb2_diff_median,0.05105460279913266,0.011536190851926061,0.06259079365105873
f006_pb3_flux_mean,0.04229499310072935,0.020295603686522386,0.06259059678725173
f009_pb3_flux_q75,0.04233195347920363,0.02004375764465927,0.06237571112386289
f009_pb1_flux_std-d-mean,0.03941208357973586,0.02266748104986705,0.06207956462960291
f010_pb_std_min,0.05050019712201854,0.011513425616019174,0.06201362273803771
f002_detected_mean,0.038746796767198895,0.02311361236612492,0.061860409133323815
f006_pb2_flux_min,0.04174058742361522,0.0199990362947807,0.06173962371839592
f005_flux_max-d-min_min,0.041814508180563766,0.01975181913245139,0.06156632731301516
f010_pb2_diff_mean,0.049588507786319735,0.011936320322832188,0.06152482810915193
f004_pb2_flux_min,0.04204859057756752,0.01892845342055878,0.0609770439981263
f004_pb5_flux_max,0.03901783954267692,0.021769278544912948,0.06078711808758987
f006_pb2_flux_std-d-mean,0.04259067612852356,0.017940079664181506,0.06053075579270507
f005_flux_q75_std,0.042627636506997836,0.017367301917232805,0.05999493842423064
f004_pb0_flux_mean,0.03809383008082003,0.02177294588970127,0.0598667759705213
f008_pb3_flux_median,0.04657007687758723,0.01304608932922563,0.05961616620681286
f004_pb2_flux_err_max-d-min,0.04852897693672384,0.010902913936374306,0.059431890873098144
f004_pb4_detected_std-d-mean,0.04706288192391091,0.012352806705997527,0.05941568862990843
f010_pb3_diff_mean,0.0484304159274591,0.010876133298242158,0.059306549225701256
f006_pb4_flux_std,0.04172826729745713,0.01751781455320865,0.05924608185066578
f010_pb_sum_diff_median,0.046878080031539524,0.012251976999677316,0.05913005703121684
f010_pb3-m-pb5_max,0.044993100729351476,0.01395985322508128,0.05895295395443276
f006_pb1_flux_min,0.04272619751626257,0.016041191789422586,0.058767389305685154
f010_pb1_diff_mean,0.04742016558249557,0.010855123268848266,0.05827528885134384
f009_pb2_flux_q75,0.03944904395821014,0.018539581893503087,0.05798862585171323
f009_pb5_flux_std,0.046175832840528286,0.011807062631353763,0.05798289547188205
f010_pb_min_diff_median,0.04638527498521585,0.011282151299244335,0.057667426284460185
f010_pb5_diff_median,0.04716144293317564,0.010493060799200747,0.057654503732376385
f009_pb1_flux_median,0.034102109205598266,0.02337277130213996,0.057474880507738225
f006_pb2_flux_q25,0.04326828306721861,0.014184909336192023,0.05745319240341063
f009_pb4_flux_mean,0.03927656219199685,0.018147087973337073,0.05742365016533392
f004_pb4_flux_median,0.04543662527104278,0.011717385493632874,0.057154010764675654
f006_pb2_flux_mean,0.041605066035876215,0.015492464620985977,0.05709753065686219
f010_pb_max_diff_min,0.04521486300019713,0.011728001849260317,0.056942864849457445
f005_detected_std_std,0.04565838754188843,0.011120211912972206,0.056778599454860634
f010_pb1_diff_min,0.04565838754188843,0.010960675255548162,0.056619062797436594
f010_pb3_diff_min,0.045103981864774295,0.01146324603789028,0.05656722790266457
f010_pb3_diff_median,0.04623743347131875,0.010014456644842405,0.056251890116161156
f007_pb3_flux_std,0.04053321506012222,0.015680256097486096,0.056213471157608316
f005_flux_err_std-d-mean_min,0.045954070569682634,0.009650217296635276,0.05560428786631791
f010_pb4_diff_std-d-mean,0.04528878375714567,0.010207179669858886,0.05549596342700456
f010_pb_std_max,0.043551645968854726,0.011822929916722603,0.05537457588557733
f004_pb5_detected_std,0.03236497141730731,0.022921616433805504,0.05528658785111282
f010_pb_mean_diff_median,0.04403213088902031,0.011147346868699847,0.055179477757720155
f004_pb1_flux_q25,0.0438842893751232,0.011198818860719993,0.0550831082358432
f004_pb2_flux_err_std-d-mean,0.04438941454760497,0.010667066500156969,0.05505648104776194
f009_pb0_flux_mean,0.03984328799526908,0.015209068266637121,0.0550523562619062
f009_pb0_flux_median,0.036948058348117485,0.01809536127074858,0.055043419618866066
f010_object_id_min,0.043933569879755566,0.01097404293155592,0.054907612811311485
f010_pb2-d-pb5_median,0.040964419475655434,0.013348041957673902,0.05431246143332934
f010_pb_median_diff_median,0.04352700571653854,0.01074414814986857,0.05427115386640711
f006_pb4_flux_median,0.0417652276759314,0.012492901478351649,0.054258129154283054
f006_pb4_flux_q75,0.03623349103094816,0.017824594203548025,0.054058085234496185
f008_pb2_flux_std-d-mean,0.03696037847427558,0.016786172489776083,0.05374655096405166
f008_pb5_flux_mean,0.03988024837374335,0.013760412610670118,0.05364066098441347
f009_pb0_flux_q25,0.04128474275576582,0.012277920255226959,0.05356266301099277
f005_flux_std-d-mean_mean,0.0431450818056377,0.010398643628544172,0.05354372543418187
f004_pb4_flux_mean,0.038512714370195156,0.015008447671908851,0.053521162042104005
f010_pb1_diff_median,0.04376108811354229,0.009635173643937464,0.05339626175747975
f004_pb4_flux_max,0.03718214074512123,0.015959639027349988,0.05314177977247122
f010_pb3_diff_max,0.043009560417898676,0.010112813509463895,0.05312237392736257
f004_pb5_flux_q75,0.03890695840725409,0.014007805034780677,0.052914763442034767
f010_pb_sum_std,0.03452099349497339,0.018384172831054618,0.05290516632602801
f005_detected_std_mean,0.03544500295683028,0.017437996971656513,0.05288299992848679
f010_pb_max_diff_max-d-min,0.04182682830672187,0.010919193118844673,0.05274602142556654
f010_pb_mean_diff_max-d-min,0.041432584269662925,0.010952323479219097,0.05238490774888202
f004_pb0_flux_std-d-mean,0.04170362704514095,0.01063467033180981,0.052338297376950754
f010_pb5_diff_max-d-min,0.042676917011630205,0.009571170076881854,0.05224808708851206
f005_flux_q25_max,0.04172826729745713,0.010444842508786429,0.05217310980624355
f005_detected_std-d-mean_mean,0.03954760496747487,0.012314823975351073,0.051862428942825944
f008_pb4_flux_std-d-mean,0.037317662132860245,0.014301736613104217,0.05161939874596446
f009_pb3_flux_mean,0.03412674945791445,0.017126527741278867,0.051253277199193314
f004_pb4_flux_err_max-d-min,0.04151882515276957,0.009669548167069053,0.05118837331983862
f004_pb0_flux_std,0.037465503646757346,0.013391312992886857,0.050856816639644205
f008_pb5_flux_q75,0.03997880938300809,0.010855914637230343,0.050834724020238434
f006_pb3_flux_min,0.03827863197319141,0.012517296245658938,0.050795928218850345
f010_pb_max_median,0.03485363690124187,0.015871939754796165,0.05072557665603804
f010_pb_std_max-d-min,0.04151882515276957,0.009151735968435411,0.05067056112120498
f010_pb2_diff_max,0.0399541691306919,0.010649503009122057,0.050603672139813954
f005_flux_std-d-mean_std,0.039264242065838756,0.011142606616789067,0.05040684868262782
f010_pb3-d-pb5_mean,0.04076729745712597,0.009306297035545709,0.05007359449267168
f010_pb2-d-pb3_median,0.037071259609698405,0.012573318547007798,0.049644578156706205
f006_pb3_flux_std,0.036245811157106254,0.01335723902493107,0.049603050182037325
f010_pb1-m-pb3_min,0.03364626453774887,0.015910306700574233,0.049556571238323105
f006_pb3_flux_q25,0.039214961561206386,0.010322597900158121,0.04953755946136451
f010_pb4_diff_median,0.040828898087916426,0.0086182507870824,0.04944714887499883
f006_pb0_flux_min,0.037317662132860245,0.011911823773587443,0.049229485906447684
f001_decl,0.04012665089690519,0.009020566431932924,0.049147217328838116
f008_pb1_flux_q25,0.0366277350680071,0.01209500756097311,0.048722742628980215
