feature,split,gain,total
f007_pb5_flux_q25,0.42283298097251587,1.0,1.4228329809725158
f007_pb5_flux_std-d-mean,1.0,0.34251000851713376,1.3425100085171338
f007_pb1_flux_std,0.9611762444743417,0.32412881033108343,1.2853050548054252
f004_pb2_flux_q75,0.7866615414184124,0.40906981095286765,1.19573135237128
f009_pb2_flux_median,0.8133768979434941,0.32667658668565414,1.1400534846291484
f009_pb2_flux_mean,0.5690947530270998,0.36607082346113157,0.9351655764882314
f008_pb2_flux_min,0.8206803767057467,0.058639515849422834,0.8793198925551695
f009_pb2_flux_q75,0.5983086680761099,0.25799137322727717,0.8563000413033871
f010_pb_max_diff_max,0.7134345569863539,0.12764516283498614,0.8410797198213401
f006_pb2_flux_min,0.3943878531616375,0.43073105645119814,0.8251189096128356
f006_pb2_flux_q75,0.5471843167403421,0.24354938755752314,0.7907337042978653
f008_pb4_flux_min,0.5200845665961945,0.18679707365069778,0.7068816402468923
f005_flux_std_min,0.5550643859311936,0.1361926182763545,0.6912570042075481
f006_pb2_flux_std,0.39477224678070344,0.28779842815056805,0.6825706749312714
f009_pb2_flux_q25,0.5875456467422641,0.09175513849714355,0.6793007852394076
f009_pb3_flux_median,0.5639054391697098,0.09813425468177653,0.6620396938514863
f004_pb5_detected_std-d-mean,0.502402460119162,0.1494762769710662,0.6518787370902281
f010_pb_max_diff_min,0.5464155295022103,0.0915483292318959,0.6379638587341062
f007_pb2_flux_std,0.58793004036133,0.04901374418175718,0.6369437845430872
f007_pb0_flux_std-d-mean,0.5665961945031712,0.05326754636938673,0.6198637408725579
f007_pb2_flux_q75,0.4109167787814722,0.19320950070253234,0.6041262794840045
f004_pb2_flux_err_std-d-mean,0.5800499711704785,0.01920519986513512,0.5992551710356137
f007_pb1_flux_std-d-mean,0.4514703055929271,0.1426976013536859,0.594167906946613
f004_pb2_detected_std-d-mean,0.5148952527388045,0.04010466369516888,0.5549999164339734
f004_pb2_flux_err_max-d-min,0.5362290985969632,0.017976175330811556,0.5542052739277747
f009_pb3_flux_mean,0.47357293868921774,0.07775520803575708,0.5513281467249749
f005_flux_max_min,0.326542379396502,0.22006078906383764,0.5466031684603396
f005_flux_err_mean_std,0.4949067845473765,0.025522954405394913,0.5204297389527714
f009_pb1_flux_q75,0.47895444935614073,0.03900501761223288,0.5179594669683736
f004_pb5_detected_mean,0.32673457620603497,0.18268688477207443,0.5094214609781094
f007_pb0_flux_max-d-min,0.4541610609263886,0.03638138860043035,0.4905424495268189
f007_pb1_flux_max,0.3953488372093023,0.08483897251432765,0.48018780972362995
f004_pb2_flux_min,0.206034979819335,0.2608098545701134,0.4668448343894484
f004_pb4_detected_std-d-mean,0.437247741687488,0.028975085304883953,0.46622282699237194
f005_detected_mean_std,0.4174514703055929,0.03998502421240818,0.45743649451800106
f010_pb_sum_diff_min,0.4001537574476264,0.04747600087517082,0.4476297583227972
f004_pb1_flux_err_mean,0.2321737459158178,0.21011928261677698,0.4422930285325948
f004_pb5_flux_q25,0.4051508744954833,0.03609647856892058,0.4412473530644039
f005_flux_mean_std,0.391697097828176,0.0449138818807675,0.4366109797089435
f007_pb1_flux_min,0.41379973092446665,0.020298771011827154,0.4340985019362938
f007_pb1_flux_q75,0.35960023063617147,0.06486119076271238,0.4244614213988839
f007_pb5_flux_std,0.3984239861618297,0.020284125995099756,0.4187081121569295
f004_pb0_flux_q25,0.4045742840668845,0.013366570705432424,0.4179408547723169
f008_pb5_flux_min,0.2786853738227945,0.1343459992066365,0.41303137302943105
f004_pb2_detected_std,0.3857389967326542,0.024219997551217714,0.40995899428387195
f008_pb5_flux_q25,0.3413415337305401,0.0627589644057608,0.4041004981363009
f005_flux_std_median,0.331731693253892,0.07144115840873687,0.4031728516626289
f008_pb2_flux_std,0.3632519700172977,0.038440313816923116,0.40169228383422084
f010_pb_sum_diff_std,0.3542187199692485,0.04173338196233677,0.39595210193158525
f005_flux_err_q25_std,0.3807418796847972,0.013717228339887835,0.39445910802468503
f006_pb1_flux_q75,0.35940803382663844,0.026210526327093406,0.38561856015373186
f007_pb0_flux_std,0.3578704593503748,0.027092044424766985,0.3849625037751418
f005_flux_min_std,0.2742648472035364,0.1069100669179213,0.3811749141214577
f009_pb1_flux_mean,0.3221218527772439,0.04642051059515465,0.3685423633723986
f006_pb1_flux_max,0.29848164520468956,0.06764825880581654,0.3661299040105061
f009_pb4_flux_std-d-mean,0.3178935229675187,0.03997548858407829,0.357869011551597
f005_flux_max-d-min_mean,0.28637324620411303,0.07104138528624598,0.357414631490359
f008_pb3_flux_min,0.32904093792043054,0.025735605130749975,0.3547765430511805
f009_pb1_flux_median,0.31212761868152983,0.03767633223293342,0.34980395091446326
f004_pb4_detected_std,0.32558139534883723,0.01804499435088261,0.3436263896997198
f004_pb4_flux_err_max-d-min,0.32615798577743604,0.014127007474423569,0.3402849932518596
f009_pb2_flux_std-d-mean,0.26965212377474534,0.07023448874069552,0.33988661251544083
f004_pb1_flux_err_q25,0.23736305977320776,0.10172588473630033,0.3390889445095081
f005_flux_err_median_std,0.3244282144916394,0.014365968611095042,0.33879418310273446
f010_pb_sum_diff_max,0.2909859696329041,0.04704160908166697,0.33802757871457106
f005_flux_err_q75_std,0.30943686334806847,0.01493559220250049,0.324372455550569
f007_pb2_flux_min,0.3107822410147992,0.013535556524124191,0.32431779753892337
f009_pb4_flux_std,0.29848164520468956,0.02489212109725465,0.3233737663019442
f004_pb4_detected_mean,0.29137036325197,0.028115335185773235,0.31948569843774327
f007_pb3_flux_median,0.12012300595810109,0.197051637147793,0.3171746431058941
f008_pb2_flux_mean,0.30270997501441477,0.014049069367551077,0.31675904438196584
f009_pb3_flux_q25,0.29367672496636554,0.021852047988781508,0.31552877295514703
f004_pb1_flux_min,0.2832980972515856,0.03100550219475178,0.3143035994463374
f004_pb2_flux_std,0.28637324620411303,0.013965777100971662,0.3003390233050847
f002_flux_q75,0.23390351720161445,0.06456477833426892,0.2984682955358834
f004_pb3_flux_std-d-mean,0.2848356717278493,0.01133474633770311,0.2961704180655524
f004_pb5_flux_std,0.27311166634633866,0.021740364439701346,0.29485203078604
f006_pb1_flux_std,0.2627330386315587,0.02059416542523073,0.28332720405678946
f004_pb1_flux_err_median,0.1322314049586777,0.14679111059541985,0.2790225155540975
f006_pb4_flux_std,0.2502402460119162,0.02768344554799778,0.277923691559914
f009_pb3_flux_std-d-mean,0.26100326734576207,0.01538484516883217,0.2763881125145942
f010_pb_sum_diff_max-d-min,0.2642706131078224,0.008687214380548529,0.27295782748837094
f004_pb1_detected_std-d-mean,0.26215644820295986,0.009822619181199595,0.27197906738415945
f005_flux_q75_max,0.25293100134537766,0.015121800709595944,0.2680528020549736
f008_pb1_flux_std,0.2535075917739765,0.01389761774490014,0.26740520951887664
f006_pb3_flux_q75,0.2477416874879877,0.015562061234346588,0.2633037487223343
f002_flux_err_max-d-min,0.24908706515471843,0.013664065436197574,0.262751130590916
f010_pb_mean_std-d-mean,0.2425523736305977,0.018413145765494233,0.2609655193960919
f009_pb2_flux_std,0.2483182779165866,0.009940086895779913,0.2582583648123665
f004_pb0_flux_median,0.251393426869114,0.0061266236416642654,0.25752005051077825
f010_pb1_diff_min,0.24908706515471843,0.006763750140116888,0.25585081529483533
f010_pb2_diff_std,0.23793965020180666,0.011262566394514876,0.24920221659632152
f009_pb3_flux_std,0.23678646934460887,0.009979395691651701,0.24676586503626058
f005_flux_max_std,0.2191043628675764,0.025844766577991212,0.2449491294455676
f004_pb1_flux_q75,0.19027484143763213,0.04948562251632642,0.23976046395395856
f006_pb0_flux_std,0.22006534691524118,0.018390783000382337,0.2384561299156235
f009_pb1_flux_q25,0.21449163943878533,0.02227383784177534,0.23676547728056066
f005_flux_q25_max,0.2150682298673842,0.018926158382370318,0.23399438824975452
f006_pb3_flux_std,0.180857197770517,0.049324291103403896,0.2301814888739209
f004_pb3_flux_err_max-d-min,0.21929655967710937,0.005251559698928248,0.2245481193760376
f008_pb1_flux_min,0.2125696713434557,0.011144644882373909,0.2237143162258296
f010_pb_median_q75,0.1970017297712858,0.02452402936172639,0.2215257591330122
f007_pb3_flux_std-d-mean,0.2106477032481261,0.006041283720947703,0.2166889869690738
f004_pb0_flux_err_std-d-mean,0.2066115702479339,0.005144205194739266,0.21175577544267316
f002_flux_err_std-d-mean,0.19873150105708245,0.012773534066442806,0.21150503512352525
f005_flux_min_median,0.06342494714587738,0.147974786686262,0.21139973383213936
f009_pb4_flux_q75,0.19930809148568132,0.011503462477684676,0.21081155396336598
f007_pb2_flux_median,0.11378051124351335,0.09632979160720466,0.21011030285071802
f010_pb3_diff_std,0.19623294253315396,0.009127439561373999,0.20536038209452795
f004_pb5_flux_err_std-d-mean,0.1989236978666154,0.004223565624583512,0.2031472634911989
f006_pb5_flux_std,0.1970017297712858,0.0059929007715582,0.202994630542844
f010_pb_max_diff_std,0.1893138573899673,0.013627304722372035,0.20294116211233934
f009_pb3_flux_q75,0.19065923505669805,0.01116516658540184,0.2018244016420999
f004_pb1_flux_err_min,0.1754756871035941,0.023539355397278902,0.19901504250087299
f004_pb3_flux_q75,0.170862963674803,0.0273090677865123,0.1981720314613153
f010_pb_max_q75,0.1827791658658466,0.014868882711867423,0.19764804857771404
f005_flux_err_max-d-min_mean,0.18181818181818182,0.015801444689353916,0.19761962650753573
f004_pb1_flux_err_max,0.150682298673842,0.0422314218522424,0.1929137205260844
f010_pb_std_std-d-mean,0.18758408610417066,0.005219292809746799,0.19280337891391747
f009_pb4_flux_mean,0.18028060734191814,0.011758318687065299,0.19203892602898345
f009_pb5_flux_std,0.16317509129348454,0.02535696256044033,0.18853205385392485
f007_pb0_flux_max,0.17278493177013263,0.013152350207883908,0.18593728197801654
f007_pb5_flux_min,0.15433403805496826,0.03112998742132486,0.18546402547629312
f002_flux_std-d-mean,0.16202191043628675,0.022806491252059292,0.18482840168834605
f004_pb1_flux_err_std-d-mean,0.1752834902940611,0.006346441730454308,0.1816299320245154
f006_pb0_flux_max,0.16817220834134153,0.013042050871510402,0.18121425921285192
f005_flux_err_max-d-min_min,0.17566788391312704,0.005015551121393608,0.18068343503452064
