feature,split,gain,total
f001_hostgal_photoz,1.0,1.0,2.0
f014_detected_dates,0.5065710664745404,0.6872961451999964,1.1938672116745368
f001_hostgal_photoz_err,0.40132405108707603,0.3384468492842074,0.7397709003712833
f002_flux_by_flux_ratio_sq_skew,0.1874620232287634,0.10685095079954408,0.2943129740283075
f010_pb5_flux_norm2_min,0.02766734373824529,0.19332873100820824,0.22099607474645352
f012_pb0_flux_by_flux_ratio_sq_mean-d-pb5_flux_by_flux_ratio_sq_mean,0.11015433759830559,0.10642653578894554,0.21658087338725113
f003_pb1_flux_q75-m-q25,0.03940325110096468,0.17467870310067116,0.21408195420163584
f006_flux_ratio_sq_std-d-mean,0.2020566772567606,0.01184833530997569,0.2139050125667363
f014_d0_flux_ratio_sq_median,0.1616233514464448,0.036724926896705624,0.1983482783431504
f017_pb4_flux_norm1_min,0.11514846385768766,0.050512902347891214,0.16566136620557886
f017_pb3_flux_norm1_min,0.09664762764535338,0.06901048878330182,0.1656581164286552
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.07562368708876582,0.08816937405540537,0.1637930611441712
f014_d1_flux_norm1_min,0.07561211321562704,0.07315225135390704,0.14876436456953407
f012_pb2_flux_norm1_q10,0.10929787098603613,0.037613232889205865,0.146911103875242
f014_d0_flux_ratio_sq_q75,0.12555337580944775,0.020298995260921802,0.14585237107036955
f003_pb1_flux_norm2_max-d-pb2_flux_norm2_max,0.11694241419419801,0.028293671806324392,0.1452360860005224
f009_pb0_flux_norm1_mean,0.10959879168764432,0.03562572464693487,0.1452245163345792
f012_pb4_flux_norm1_q10,0.1142457017528631,0.029838536719219894,0.144084238472083
f008_pb2_flux_diff_abs_median,0.032939242952958,0.10234445239223879,0.1352836953451968
f015_pb0_d0_flux_ratio_sq_q75,0.06402087926714235,0.0694451116404904,0.13346599090763275
f003_pb1_flux_norm2_q75-d-pb3_flux_norm2_q75,0.10128296383743339,0.029147226809280728,0.13043019064671413
f009_pb2_flux_norm2_max-d-pb3_flux_norm2_max,0.09985937744136386,0.03030914868268033,0.1301685261240442
f009_pb0_flux_by_flux_ratio_sq_mean-d-pb5_flux_by_flux_ratio_sq_mean,0.04662534793956124,0.08198454799739899,0.12860989593696023
f008_pb2_flux_norm2_diff_max-m-min,0.1050676203538133,0.02292495750227338,0.12799257785608667
f014_d0_flux_ratio_sq_q25,0.11230707800211803,0.011720163123532256,0.12402724112565029
f002_flux_norm1_mean,0.07944885216113147,0.04361485493469424,0.1230637070958257
f006_flux_norm1_skew,0.05947813406017256,0.06350518537013984,0.1229833194303124
f020_pb0_flux_norm2_max,0.0885459164482098,0.02840669332758633,0.11695260977579613
f002_flux_by_flux_ratio_sq_std-d-mean,0.07990602015011314,0.03658733877794085,0.11649335892805399
f015_pb5_d1_flux_mean,0.03799123857803395,0.07766425979730858,0.11565549837534253
f003_pb0_flux_norm2_q25-d-pb1_flux_norm2_q25,0.03240684478857427,0.0819717275804235,0.11437857236899776
f017_pb3_flux_norm1_q10,0.07049646128828782,0.04345481949608783,0.11395128078437565
f003_pb0_flux_ratio_sq_q90-d-pb5_flux_ratio_sq_q90,0.051804656169163736,0.06214067789863986,0.1139453340678036
f003_pb0_flux_ratio_sq_median-d-pb4_flux_ratio_sq_median,0.04134766178827914,0.07193849298353769,0.11328615477181683
f003_pb2_flux_min-d-pb5_flux_min,0.09561755293600227,0.015367391234944386,0.11098494417094666
f003_pb1_flux_by_flux_ratio_sq_q90-m-q10-d-pb2_flux_by_flux_ratio_sq_q90-m-q10,0.07670584422724143,0.03340869695946027,0.11011454118670169
f017_pb2_flux_norm2_mean-d-pb4_flux_norm2_mean,0.07270128412122474,0.036293930465053116,0.10899521458627787
f006_flux_norm1_q90,0.039843058280238194,0.06828929545205906,0.10813235373229725
f003_pb5_flux_norm2_min,0.019033234376717997,0.08889541679487467,0.10792865117159267
f018_pb1_flux_by_flux_ratio_sq_median-d-pb4_flux_by_flux_ratio_sq_median,0.07958773863879678,0.025865144125582863,0.10545288276437964
f003_pb1_flux_by_flux_ratio_sq_std-d-pb4_flux_by_flux_ratio_sq_std,0.0674988281453447,0.03661149597058771,0.1041103241159324
f003_pb2_flux_skew,0.08666516206315862,0.0166924838783763,0.10335764594153492
f006_flux_q25,0.044773528237356995,0.05845397985750066,0.10322750809485765
f011_pb1_flux_norm1_fft_max_amp,0.053587032632535316,0.049582378322307434,0.10316941095484275
f003_pb0_flux_ratio_sq_median,0.06515511883474245,0.03696522071903053,0.10212033955377298
f003_pb1_flux_ratio_sq_median,0.08685613096994844,0.013240982955002933,0.10009711392495138
f003_pb2_flux_norm2_max-m-min,0.06829742539192028,0.028897994793207555,0.09719542018512783
f003_pb1_flux_q90-d-pb2_flux_q90,0.07779957523885582,0.01935468072765044,0.09715425596650626
f002_flux_ratio_sq_q90,0.042759674311209875,0.054077659864799565,0.09683733417600944
f012_pb3_flux_norm1_q10,0.06944902576922854,0.02724458418658114,0.09669360995580968
f017_pb1_flux_err_max,0.08211084298305008,0.014033364682302723,0.0961442076653528
f012_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.08581448238745856,0.010248335799971118,0.09606281818742968
