feature,split,gain,total
f014_detected_dates,1.0,1.0,2.0
f001_hostgal_photoz,0.6654461621914836,0.4068819051165506,1.0723280673080342
f001_hostgal_photoz_err,0.5748576078112286,0.49118622689712566,1.0660438347083543
f014_d1_lumi_min,0.5078654732845131,0.5346971563415488,1.042562629626062
f014_d1_lumi_max-d-min,0.47247084350420393,0.5057819899506262,0.9782528334548302
f002_flux_by_flux_ratio_sq_skew,0.6470029834553839,0.28275854745755297,0.9297615309129368
f002_lumi_std-d-mean,0.3535394629780309,0.5750512278085752,0.9285906907866062
f003_pb1_lumi_max-m-min,0.11296446975861134,0.6775065560869301,0.7904710258455414
f010_pb5_flux_norm2_min,0.15364795226471387,0.5781515153342239,0.7317994675989378
f006_flux_ratio_sq_std-d-mean,0.6806346623270952,0.030493074077812276,0.7111277364049076
f003_pb1_flux_q75-m-q25,0.07363710333604556,0.5492112835241412,0.6228483868601867
f014_d1_flux_norm1_min,0.2884458909682669,0.20216269810345744,0.49060858907172433
f015_pb1_d0_lumi_std,0.043395714673176024,0.4145738374627514,0.45796955213592744
f002_lumi_max-m-min-d-mean,0.28152969894222946,0.1569799608376879,0.43850965977991735
f002_lumi_q25,0.2827502034174125,0.15175175926093454,0.43450196267834706
f003_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.04068348250610252,0.39360372439712066,0.4342872069032232
f012_pb0_lumi_q90-d-pb5_lumi_q90,0.23962571196094384,0.1738844897980222,0.413510201758966
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.19094114456197453,0.2171289535140029,0.40807009807597744
f002_lumi_kurt,0.30417683753729324,0.0926000142249884,0.3967768517622816
f003_pb0_lumi_std-d-pb4_lumi_std,0.09113100081366966,0.30532195900243436,0.396452959816104
f012_pb0_lumi_mean-d-pb5_lumi_mean,0.027122321670735017,0.3617745436461603,0.3888968653168953
f012_pb0_lumi_mean-d-pb4_lumi_mean,0.015324111743965285,0.3664298857064252,0.3817539974503905
f003_pb5_flux_norm2_min,0.0659072416598861,0.30728098519232616,0.37318822685221226
