feature,split,gain,total
f014_detected_dates,1.0,1.0,2.0
f001_hostgal_photoz,0.7695553391755923,0.4872630348122223,1.2568183739878145
f002_flux_by_flux_ratio_sq_skew,0.8435572865952612,0.3685543638966818,1.212111650491943
f001_hostgal_photoz_err,0.6377799415774099,0.5427326853420098,1.1805126269194197
f014_d1_lumi_max-d-min,0.4232392080493346,0.700605921226584,1.1238451292759186
f006_flux_ratio_sq_std-d-mean,0.8966244725738396,0.09313671065196456,0.9897611832258042
f002_lumi_std-d-mean,0.3476144109055501,0.6164759411176117,0.9640903520231618
f012_pb0_lumi_mean-d-pb5_lumi_mean,0.06004543979227523,0.8406272348711801,0.9006726746634554
f010_pb5_flux_norm2_min,0.1668289516390782,0.6823887291342212,0.8492176807732994
f014_d1_lumi_min,0.34615384615384615,0.4882971741683156,0.8344510203221618
f003_pb0_flux_ratio_sq_median-d-pb5_flux_ratio_sq_median,0.0433300876338851,0.5315051788223447,0.5748352664562298
f003_pb1_lumi_max-m-min,0.09802012333657903,0.4658560788105706,0.5638762021471496
f014_d1_flux_norm1_min,0.32684193443687115,0.2351808566030698,0.5620227910399409
f003_pb2_flux_q75-m-q25,0.035702693930542026,0.48191640128543267,0.5176190952159747
f002_lumi_max-m-min-d-mean,0.29406037000973706,0.21832375881662414,0.5123841288263612
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.21308016877637131,0.29110271390909026,0.5041828826854615
f002_lumi_kurt,0.3395001622849724,0.09765347252804395,0.43715363481301633
f006_lumi_q75-m-q25,0.03148328464784161,0.3741633176682514,0.405646602316093
f013_lumi_min,0.02288218111002921,0.37811436341765653,0.40099654452768574
f003_pb1_flux_q75-m-q25,0.06004543979227523,0.33096865741342923,0.39101409720570446
f002_lumi_q25,0.2104836092177864,0.15842995845559993,0.36891356767338634
f003_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.06929568321973385,0.2967621544446392,0.36605783766437305
f010_pb5_flux_q75-m-q25,0.12625770853618953,0.22615093849363901,0.35240864702982855
f003_pb0_flux_ratio_sq_q10-d-pb4_flux_ratio_sq_q10,0.03083414475819539,0.31497433222067006,0.34580847697886546
f002_flux_by_flux_ratio_sq_std-d-mean,0.2580331061343719,0.07863547407034775,0.3366685802047197
f014_d0_flux_ratio_sq_median,0.2377474845829276,0.06767812364850259,0.30542560823143017
f014_d0_flux_ratio_sq_q75,0.2786432976306394,0.013573923186319876,0.2922172208169593
f010_pb0_flux_ratio_sq_q25-d-pb5_flux_ratio_sq_q25,0.016066212268743912,0.27258999128290357,0.28865620355164745
f017_pb0_lumi_mean-d-pb5_lumi_mean,0.11230120090879585,0.17470523128336082,0.28700643219215666
f003_pb0_flux_norm2_q25-d-pb1_flux_norm2_q25,0.058747160012982795,0.22435993366651028,0.28310709367949305
f003_pb0_flux_ratio_sq_q90-d-pb5_flux_ratio_sq_q90,0.043816942551119765,0.2337928175728227,0.27760976012394245
f015_pb5_d1_lumi_mean,0.013145082765335929,0.26403378531937843,0.27717886808471437
f006_flux_norm1_q90,0.03456669912366115,0.23770377112005342,0.2722704702437146
f006_lumi_std-d-mean,0.11359948068808827,0.1491466771545733,0.2627461578426616
f013_lumi_q25,0.017039922103213243,0.24452866673029972,0.26156858883351297
f006_flux_ratio_sq_q75-m-q25,0.012982797792924375,0.247153492570892,0.26013629036381636
f010_pb5_flux_q90-m-q10,0.22005842259006814,0.03785235634223922,0.25791077893230735
f015_pb1_d0_lumi_std,0.0397598182408309,0.21602886936587604,0.2557886876067069
f012_pb0_lumi_q75-d-pb5_lumi_q75,0.08860759493670886,0.148661695430781,0.23726929036748987
fbk1-007_pb5_flux_min,0.04787406686140863,0.18036122641224506,0.2282352932736537
f015_pb5_d1_flux_norm1_max-d-min,0.020285621551444335,0.20723453833229583,0.22752015988374016
f015_pb5_d1_flux_norm1_max,0.1575787082116196,0.06750348739105476,0.22508219560267434
f003_pb0_lumi_std-d-pb4_lumi_std,0.0658876987990912,0.15749189603124006,0.22337959483033126
f006_flux_skew,0.0780590717299578,0.14479478221884515,0.22285385394880294
f013_flux_ratio_sq_std-d-mean,0.1726712106458942,0.04530632206996274,0.21797753271585693
f015_pb1_d0_lumi_max,0.060856864654333,0.15371179449826836,0.21456865915260137
