feature,split,gain,total
f001_hostgal_photoz,0.9348598499802606,1.0,1.9348598499802607
f001_hostgal_photoz_err,1.0,0.5751780287138964,1.5751780287138963
f014_detected_dates,0.9621002763521517,0.2867088305014422,1.2488091068535938
f002_lumi_max-m-min-d-mean,0.3821555467824714,0.851713932218148,1.2338694790006193
f014_d1_flux_norm3_min,0.19621002763521517,0.8153399720387553,1.0115499996739705
f002_lumi_std-d-mean,0.29372285827082517,0.6250835856296989,0.9188064439005241
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.22542439794709832,0.3103899093473372,0.5358143072944355
f014_d1_lumi_max,0.3825503355704698,0.08950517758566628,0.4720555131561361
f003_pb1_flux_q75-m-q25,0.07895775759968418,0.3475068992280717,0.4264646568277559
f010_pb5_flux_norm2_min,0.02250296091590999,0.379759210281766,0.402262171197676
f002_flux_by_flux_ratio_sq_skew,0.17923410975128307,0.2228650315584053,0.4020991413096884
f014_d1_lumi_max-d-min,0.05606000789577576,0.3437029372343848,0.39976294513016053
f014_d0_flux_ratio_sq_q75,0.23016186340307937,0.14760569249795572,0.37776755590103506
f003_pb1_lumi_q75-m-q25,0.18357678641926573,0.19035670721598932,0.3739334936352551
f003_pb1_flux_ratio_sq_median,0.2755625740228978,0.08672109106532486,0.36228366508822263
f014_d1_flux_norm1_min,0.06632451638373471,0.2847059953077441,0.3510305116914788
f026_pb3_date_diff_0.3,0.3075404658507699,0.02790486898228859,0.3354453348330585
f003_pb0_lumi_std-d-pb4_lumi_std,0.08448480063166207,0.2505600699578269,0.335044870589489
f003_pb1_lumi_q90,0.3008290564547967,0.019867596822422815,0.3206966532772195
f006_flux_norm1_q90,0.0623766285037505,0.2578963191658158,0.32027294766956627
f015_pb1_d0_lumi_max,0.1283063560994868,0.17507777616350892,0.3033841322629957
f003_pb1_lumi_q75,0.13541255428345836,0.16423910330824623,0.2996516575917046
f027_lumi_std,0.19621002763521517,0.09120675559221421,0.28741678322742936
f003_pb1_lumi_max-m-min,0.2514804579549941,0.0327624768012101,0.28424293475620416
f002_lumi_kurt,0.14409790761942362,0.13635129425778286,0.28044920187720646
f006_flux_by_flux_ratio_sq_q90,0.2538491906829846,0.026358319681939475,0.2802075103649241
f018_pb3_flux_norm1_median,0.25424397947098304,0.012354037680674588,0.26659801715165765
f026_date_diff_0.7,0.249506514015002,0.008888258726216701,0.2583947727412187
f018_pb2_flux_norm1_q25,0.21279115673114884,0.04434216012914489,0.2571333168602937
f026_pb4_date_diff_0.3,0.23924200552704303,0.01541597133103078,0.2546579768580738
f014_d1_lumi_std,0.19226213975523096,0.06189958251873187,0.25416172227396283
f005_pb0_y2_flux_by_flux_ratio_sq_std-d-mean,0.24595341492301623,0.007465617862182112,0.25341903278519834
f003_pb2_lumi_q10-d-pb5_lumi_q10,0.07935254638768259,0.16431549742525922,0.24366804381294183
f023_pb2_lumi_std,0.2151598894591394,0.021318232837040554,0.23647812229617993
f015_pb5_d1_flux_max-d-min,0.06514015001973944,0.17123794044924706,0.2363780904689865
f003_pb0_lumi_max,0.16265298065534942,0.07313587820883502,0.23578885886418444
f003_pb4_lumi_mean,0.11685748124753258,0.11824831923443291,0.2351058004819655
f014_d1_flux_norm3_max-d-min,0.07422029214370313,0.15404260507436074,0.22826289721806386
f005_pb2_y0_flux_by_flux_ratio_sq_std-d-mean,0.21989735491512044,0.00688557775540461,0.22678293267052504
