feature,split,gain,total
f014_detected_dates,1.0,1.0,2.0
f001_hostgal_photoz,0.6612007746933506,0.41060226618226003,1.0718030408756105
f001_hostgal_photoz_err,0.5530019367333764,0.4370775847309564,0.9900795214643328
f002_flux_by_flux_ratio_sq_skew,0.6730794060684312,0.3026906890593901,0.9757700951278213
f014_d1_lumi_min,0.4675274370561653,0.49900042464635236,0.9665278617025177
f014_d1_lumi_max-d-min,0.47243382827630725,0.43984926556779486,0.9122830938441021
f002_lumi_std-d-mean,0.34925758553905745,0.49085289222278367,0.8401104777618411
f006_flux_ratio_sq_std-d-mean,0.67385409941898,0.1533598681304453,0.8272139675494253
f003_pb1_flux_q75-m-q25,0.05771465461588122,0.6714545129717466,0.7291691675876278
f010_pb5_flux_norm2_min,0.1577792123950936,0.4106602961808195,0.5684395085759131
f012_pb0_lumi_mean-d-pb5_lumi_mean,0.03641058747579083,0.4960694485985235,0.5324800360743143
f013_lumi_q10,0.008521626856036153,0.4990089263781186,0.5075305532341547
f002_lumi_max-m-min-d-mean,0.2970948999354422,0.15688163923188087,0.45397653916732306
f003_pb2_flux_err_q25-d-pb3_flux_err_q25,0.1984506132989025,0.2394473819440852,0.4378979952429877
f014_d1_flux_norm1_min,0.28082633957391867,0.1492566002159279,0.4300829397898466
f002_lumi_q25,0.26571981923821825,0.08683535896019598,0.3525551781984142
f014_d0_flux_ratio_sq_q75,0.32704970948999357,0.016107183601638136,0.3431568930916317
f002_lumi_kurt,0.28250484183344093,0.05031055218895644,0.33281539402239735
f014_d0_flux_ratio_sq_median,0.2742414460942544,0.049775301076158074,0.32401674717041246
fbk1-007_pb5_flux_min,0.05306649451258877,0.2695786637820915,0.32264515829468027
f012_pb0_lumi_q90-d-pb5_lumi_q90,0.17998708844415753,0.12317282402823738,0.30315991247239493
f003_pb0_flux_ratio_sq_median-d-pb4_flux_ratio_sq_median,0.017947062621045836,0.27678198634072365,0.2947290489617695
f003_pb2_lumi_q90-m-q10,0.02672692059393157,0.26205858890425526,0.2887855094981868
f012_pb0_lumi_mean-d-pb4_lumi_mean,0.015622982569399611,0.26859217489970155,0.28421515746910114
f003_pb0_flux_ratio_sq_q10-d-pb5_flux_ratio_sq_q10,0.016268560361523562,0.2559168514176186,0.2721854117791422
f003_pb1_lumi_max-m-min,0.10058102001291157,0.16306143326946418,0.26364245328237573
f003_pb1_flux_ratio_sq_median,0.24945125887669461,0.011365249717723652,0.2608165085944183
f002_flux_ratio_sq_q90,0.017817947062621048,0.23605532317740363,0.2538732702400247
f012_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.23718528082633955,0.009081435564466667,0.24626671639080622
f006_flux_norm1_q90,0.023886378308586184,0.22195682871729852,0.2458432070258847
f015_pb1_d0_lumi_std,0.045836023240800515,0.19427138457629556,0.24010740781709608
f002_flux_by_flux_ratio_sq_std-d-mean,0.1801162040025823,0.04089764745347183,0.22101385145605412
f013_date_diff_mean,0.025564880568108458,0.19279424489145222,0.21835912545956068
f010_pb5_flux_q75-m-q25,0.13402194964493222,0.08129753870910214,0.21531948835403436
f003_pb0_lumi_std-d-pb4_lumi_std,0.08482892188508716,0.12697293735207055,0.21180185923715772
f003_pb1_flux_ratio_sq_q25,0.19806326662362816,0.004522227417449642,0.2025854940410778
f003_pb0_flux_ratio_sq_median-d-pb5_flux_ratio_sq_median,0.031116849580374438,0.1707290089256031,0.20184585850597755
f015_pb5_d1_flux_max-d-min,0.056423499031633316,0.14481478144402987,0.2012382804756632
f015_pb5_d1_lumi_mean,0.008908973531310524,0.16597140613271477,0.1748803796640253
f013_flux_ratio_sq_std-d-mean,0.15171078114912848,0.018821354952800816,0.1705321361019293
f014_d1_lumi_max,0.1039380245319561,0.0626982132728541,0.16663623780481018
f013_flux_by_flux_ratio_sq_std-d-mean,0.1013557133634603,0.054523981996019565,0.15587969535947988
f015_pb5_d1_flux_norm1_max,0.10664945125887669,0.04797893321074914,0.15462838446962585
f014_d0_flux_norm2_min,0.1345384118786314,0.01962146758441187,0.15415987946304327
f006_flux_skew,0.03976759199483538,0.11129960865742504,0.15106720065226042
f003_pb0_flux_min-d-pb2_flux_min,0.14202711426726922,0.008988221160493344,0.15101533542776255
f002_flux_by_flux_ratio_sq_max-d-min,0.11762427372498385,0.031275809514606026,0.14890008323958986
f012_pb0_flux_norm2_q25-d-pb3_flux_norm2_q25,0.1448676565526146,0.0037737860222861555,0.14864144257490075
