feature,split,gain,total
f701_hostgal_specz,1.0,1.0,2.0
f001_hostgal_photoz,0.4842174484875055,0.9387657388804211,1.4229831873679266
f001_distmod,0.5922840859272249,0.5790480856633117,1.1713321715905365
f001_hostgal_photoz_err,0.4182376150811048,0.47120078675099786,0.8894384018321027
f002_flux_std-d-mean,0.31584587656485946,0.19137444261230638,0.5072203191771658
f004_pb2_flux_median,0.3745189731599201,0.09962696112317458,0.4741459342830947
f004_pb2_flux_std-d-mean,0.3704515563349408,0.08081720555888956,0.45126876189383036
f004_pb2_flux_min,0.20829071070193386,0.2391648025233764,0.4474555132253103
f005_flux_max-d-min_mean,0.12879341419455403,0.2965069872880834,0.4253004014826374
f003_flux_diff_max-d-min,0.34368454381606506,0.07754965576052682,0.42123419957659186
f004_pb3_flux_std-d-mean,0.331263091236787,0.08049661445137367,0.41175970568816067
f003_detected_diff_std,0.3352330849042818,0.06746952137776085,0.40270260628204263
f005_flux_max_std,0.2960446198061279,0.10589858573141665,0.40194320553754453
f004_pb4_flux_std-d-mean,0.3006965755760144,0.09195804812424259,0.392654623700257
f004_pb1_flux_median,0.30196307662331334,0.06971439451712685,0.3716774711404402
f004_pb0_flux_mean,0.2248282916849335,0.1285130460559479,0.3533413377408814
f004_pb1_detected_std-d-mean,0.21837400750158312,0.13179841180047555,0.35017241930205867
f004_pb0_flux_max,0.26382191046811826,0.08095394123101564,0.3447758516991339
f003_flux_diff_median,0.28406157143553024,0.05157801857203843,0.33563959000756866
f004_pb1_flux_min,0.24499488528423205,0.08667731865139218,0.33167220393562424
f004_pb5_flux_mean,0.2419747674022115,0.08444148562146003,0.3264162530236715
f005_detected_std-d-mean_std,0.28279507038823126,0.04144692101298362,0.3242419914012149
f004_pb5_flux_max,0.22709338009644892,0.08193676722345039,0.3090301473198993
f005_flux_max-d-min_std,0.23220809586438695,0.0658585972375464,0.29806669310193334
f004_pb0_flux_std,0.2250231379999026,0.07023333984791841,0.295256477847821
f004_pb5_detected_std-d-mean,0.1932144770812022,0.09634748385012831,0.2895619609313305
f004_pb2_detected_std-d-mean,0.24248623897900531,0.04662787930378895,0.28911411828279426
f004_pb5_flux_std,0.2160358517219543,0.07086166393812712,0.2868975156600814
f004_pb0_flux_max-d-min,0.20295679282965562,0.08189108444702299,0.2848478772766786
f002_flux_max-d-min,0.19404257391982074,0.08908609552109632,0.2831286694409171
f004_pb3_flux_median,0.2341078474353354,0.04669097877934893,0.2807988262146843
f005_flux_std-d-mean_median,0.22741000535827366,0.05323631217682498,0.2806463175350986
f005_flux_max-d-min_median,0.12504262263139948,0.1488229380764464,0.27386556070784585
f004_pb2_flux_max-d-min,0.20451556334940815,0.06821754615639902,0.2727331095058072
f002_flux_median,0.19857275074285158,0.0716290313953331,0.2702017821381847
f004_pb1_flux_std-d-mean,0.22726387062204687,0.04292271552487936,0.27018658614692626
f004_pb1_detected_mean,0.14019192362024452,0.12633364379931974,0.26652556741956424
f004_pb2_flux_max,0.2006917044181402,0.057585541949176124,0.2582772463673163
f004_pb4_detected_std-d-mean,0.2087534706999854,0.04488929010609609,0.2536427608060815
f004_pb1_flux_max-d-min,0.1984509717959959,0.054831020083131086,0.253281991879127
f004_pb0_flux_median,0.2105801549028204,0.035929366333753356,0.24650952123657374
f004_pb4_flux_median,0.20989819280042865,0.03625228990791044,0.24615048270833909
f004_pb1_flux_max,0.18512835500998587,0.06092804401080847,0.24605639902079435
f004_pb1_flux_std,0.17550781820838812,0.07044689551512062,0.24595471372350874
f004_pb4_flux_max-d-min,0.18926883920307858,0.05309712788396418,0.24236596708704275
f005_flux_median_min,0.18612694237420235,0.05495503380211835,0.2410819761763207
f005_flux_max-d-min_max,0.20278630230405767,0.03827103170348052,0.2410573340075382
f005_flux_std_min,0.15217497199084223,0.08426686547032147,0.2364418374611637
f004_pb3_flux_max-d-min,0.18697939500219202,0.047224159392369784,0.2342035543945618
f004_pb5_flux_median,0.19382337181548054,0.040295067813380915,0.23411843962886145
f005_flux_median_median,0.18393492133080033,0.04844405423592821,0.23237897556672854
f005_flux_std-d-mean_max,0.16817672560767694,0.0629239343896911,0.23110065999736804
f003_flux_diff_max,0.18011106239953237,0.050255378287512684,0.23036644068704504
f003_flux_diff_std-d-mean,0.20183642651858347,0.027289242117378945,0.2291256686359624
f004_pb3_detected_std-d-mean,0.1943104876029032,0.0341787051894548,0.22848919279235802
f005_flux_max-d-min_min,0.15312484777631644,0.07377880090529504,0.22690364868161148
f004_pb0_flux_std-d-mean,0.19499244970529495,0.02964791812540845,0.2246403678307034
f005_flux_max_min,0.17450923084417166,0.04749731780360714,0.2220065486477788
f005_flux_min_max,0.17626284767889328,0.041997254553361896,0.21826010223225517
f005_flux_median_std,0.13994836572653319,0.07366524723367451,0.2136136129602077
f003_flux_diff_mean,0.18693068342344976,0.02539546892961919,0.21232615235306895
f004_pb5_flux_std-d-mean,0.18132885186808906,0.030203887178488074,0.21153273904657713
f005_flux_std-d-mean_std,0.16542452140873887,0.04545351014277151,0.2108780315515104
f005_detected_mean_std,0.16238004773734716,0.043719556778605076,0.20609960451595222
f004_pb5_flux_max-d-min,0.1580447172292854,0.04460296508189724,0.20264768231118263
f003_flux_err_diff_median,0.17679867504505822,0.02562243117842064,0.20242110622347886
f005_flux_median_max,0.16340299089093477,0.03781145443053888,0.20121444532147365
f004_pb0_flux_err_std-d-mean,0.17467972136976959,0.026268087574751447,0.20094780894452102
f004_pb3_flux_max,0.15482975303229576,0.041653532031748805,0.19648328506404455
f005_detected_std_std,0.16727556140094502,0.026173359356532935,0.19344892075747794
f003_flux_diff_min,0.1466462078035949,0.0458167332058192,0.1924629410094141
f004_pb4_flux_max,0.15351454040625456,0.0370360853841777,0.19055062579043225
f004_pb4_flux_mean,0.15003166252618247,0.03876371322192804,0.1887953757481105
f004_pb5_detected_mean,0.11006381216815236,0.07791377096301062,0.18797758313116297
f004_pb2_flux_err_std-d-mean,0.1624044035267183,0.02456431671049017,0.18696872023720848
f005_flux_std-d-mean_mean,0.15933557406595547,0.023361310017134766,0.18269688408309023
f005_flux_std-d-mean_min,0.15660772565638853,0.024721578557383706,0.18132930421377225
f005_flux_min_std,0.10560670271323494,0.07295966666394418,0.17856636937717912
f004_pb2_flux_err_max-d-min,0.15560913829217204,0.02206333696415669,0.17767247525632873
f005_flux_min_median,0.0962053680159774,0.07869671699717634,0.17490208501315374
f002_flux_err_max-d-min,0.14382093623654343,0.028174048335556142,0.17199498457209958
f004_pb4_flux_err_max-d-min,0.15117638462662575,0.02006281721334113,0.17123920183996688
f002_flux_max,0.12852550051147157,0.040310385891748964,0.16883588640322053
f004_pb3_flux_min,0.14036241414584247,0.027540874885690105,0.16790328903153257
f005_flux_err_std-d-mean_min,0.14494130254761556,0.02187889929885901,0.16682020184647456
f004_pb1_flux_mean,0.1357348141653271,0.029140502686078453,0.16487531685140555
f005_flux_err_max-d-min_min,0.14369915728968777,0.019895487464543685,0.16359464475423147
f002_flux_err_std-d-mean,0.12501826684202835,0.03778174878303445,0.1628000156250628
f004_pb4_flux_min,0.13890106678357445,0.022774590845099477,0.16167565762867392
f005_flux_median_mean,0.1337863510156364,0.026661065532433643,0.16044741654807004
f003_flux_err_diff_max-d-min,0.1409713088801208,0.019248126809046005,0.1602194356891668
f004_pb0_flux_err_max-d-min,0.14011885625213114,0.019523521956087007,0.15964237820821814
f003_flux_diff_std,0.11617711530030689,0.04313293705461365,0.15931005235492054
f005_flux_std_std,0.11374153636319353,0.042881691060314094,0.15662322742350762
f005_detected_std-d-mean_max,0.13064445418676018,0.021015989272206444,0.15166044345896662
f004_pb3_flux_err_max-d-min,0.1294023089288324,0.01754342318857547,0.14694573211740786
f004_pb2_flux_std,0.11732183740075015,0.02708886316067258,0.14441070056142274
f004_pb4_detected_mean,0.10955234059135857,0.03467768478480315,0.14423002537616172
f004_pb2_flux_mean,0.11841784792245116,0.0251418091001807,0.14355965702263188
f005_flux_err_max-d-min_max,0.12531053631448194,0.01790091991748489,0.14321145623196682
f004_pb4_detected_std,0.11147644795167812,0.03079414456334288,0.142270592515021
f005_flux_mean_min,0.12129183106824493,0.01997804823711254,0.14126987930535748
f005_flux_err_max-d-min_std,0.12358127526913147,0.017080768145107998,0.14066204341423946
f004_pb3_flux_std,0.11142773637293585,0.02654490779037643,0.13797264416331229
f004_pb4_flux_err_std-d-mean,0.12160845633006966,0.015955197430028357,0.13756365376009802
f005_detected_std-d-mean_mean,0.11398509425690487,0.02287395671937929,0.13685905097628415
f003_passband_diff_std,0.12090213843830679,0.015618283450569129,0.13652042188887592
f005_flux_err_max-d-min_median,0.11875882897364703,0.017310047280970436,0.13606887625461747
f001_decl,0.11961128160163671,0.014969060827188237,0.13458034242882494
f004_pb3_detected_std,0.11086755321739977,0.021138086064295195,0.13200563928169495
f004_pb2_detected_std,0.10938185006576064,0.022612276848243042,0.13199412691400367
f004_pb3_flux_err_std-d-mean,0.1139363826781626,0.01792086841888151,0.1318572510970441
f004_pb4_flux_std,0.10913829217204929,0.022339026019339292,0.13147731819138858
f005_flux_err_mean_std,0.10779872375663695,0.02342597074870501,0.13122469450534197
f004_pb3_flux_mean,0.10677578060304935,0.023533472815341797,0.13030925341839114
f003_flux_err_diff_mean,0.11495932583175021,0.015109590848280162,0.13006891668003037
f005_flux_err_std-d-mean_mean,0.11118417847922452,0.016055810192816457,0.12723998867204098
f004_pb2_flux_err_min,0.10387744166788446,0.022974756764395757,0.1268521984322802
f004_pb0_flux_min,0.11042914900871938,0.01579806931138606,0.12622721832010544
f005_flux_min_mean,0.08614642700569926,0.039914263256710186,0.12606069026240946
f004_pb1_flux_err_max-d-min,0.10801792586097715,0.017709474703934153,0.1257274005649113
f005_flux_err_std-d-mean_std,0.10860246480588436,0.016303670279750566,0.12490613508563492
f004_pb5_flux_err_max-d-min,0.11106239953236885,0.013243878506276039,0.12430627803864489
f005_flux_err_std-d-mean_median,0.10682449218179162,0.015453489791223114,0.12227798197301473
f004_pb5_detected_std,0.09092016172244143,0.028967685846368572,0.11988784756880999
f004_pb5_flux_err_std-d-mean,0.1064591553412246,0.013171641823032156,0.11963079716425676
f004_pb1_mjd_max-d-min,0.10443762482342053,0.014431290482402817,0.11886891530582334
f004_pb2_detected_mean,0.0922110185591115,0.02603128050694684,0.11824229906605833
f003_flux_err_diff_std-d-mean,0.10436455745530712,0.013438378952513404,0.11780293640782052
f001_gal_l,0.1045594037702762,0.013135798363128112,0.11769520213340431
f004_pb3_detected_mean,0.09654634906717327,0.021099878214060255,0.11764622728123353
f005_flux_mean_max,0.09666812801402894,0.02068800919695694,0.11735613721098588
f002_passband_std,0.10360952798480198,0.013478837407777592,0.11708836539257958
f005_flux_mean_std,0.097228311169565,0.019266840860527972,0.11649515203009297
f004_pb0_detected_std-d-mean,0.08095864386964781,0.03521061337122754,0.11616925724087535
f003_passband_diff_std-d-mean,0.10258658483121438,0.012998074361688202,0.11558465919290259
f004_pb2_mjd_max-d-min,0.10051634273466803,0.013533370431641547,0.11404971316630957
f004_pb1_flux_err_std-d-mean,0.09888450484680208,0.015130791426122059,0.11401529627292414
f004_pb1_mjd_min,0.10046763115592576,0.013382172951319304,0.11384980410724506
f005_flux_err_max-d-min_mean,0.09893321642554435,0.014615789406252085,0.11354900583179645
f005_flux_err_median_std,0.09476837644308052,0.017933014404025734,0.11270139084710626
f005_flux_std_median,0.08556188806079205,0.024840216873467123,0.11040210493425917
f005_flux_err_std-d-mean_max,0.09601052170100834,0.013982996491969995,0.10999351819297833
f004_pb1_flux_err_std,0.09632714696283307,0.013577932075709096,0.10990507903854216
f005_detected_std_mean,0.09045740172438989,0.01838596480753623,0.10884336653192611
f004_pb1_flux_err_min,0.08302888596619416,0.024680655386041618,0.10770954135223579
f002_detected_mean,0.07189829022358615,0.034975261604213374,0.10687355182779953
f005_detected_std-d-mean_median,0.09035997856690535,0.016169043203498858,0.10652902177040421
f003_flux_err_diff_min,0.09299040381898778,0.01261462460736783,0.10560502842635561
f005_detected_mean_max,0.05991524185298846,0.04551797693990723,0.10543321879289569
f003_mjd_diff_max,0.09216230698036923,0.013215606873724153,0.10537791385409338
f002_flux_err_min,0.08495299332651371,0.020083555777361234,0.10503654910387494
f004_pb5_flux_min,0.08427103122412197,0.020737485619267915,0.10500851684338988
f004_pb1_flux_err_max,0.09021384383067856,0.014702854964824888,0.10491669879550344
f004_pb0_detected_mean,0.06115738711091626,0.043679605053618176,0.10483699216453443
f004_pb4_flux_err_max,0.09109065224803936,0.01307373243491921,0.10416438468295858
f004_pb4_flux_err_min,0.08911783330897755,0.0142858396886658,0.10340367299764334
f004_pb1_flux_err_median,0.0572604608115349,0.04486680892866698,0.10212726974020188
f005_mjd_max_std,0.08621949437381266,0.01403619412200954,0.1002556884958222
f003_mjd_diff_min,0.08809489015538993,0.011525456093560205,0.09962034624895014
f003_flux_err_diff_max,0.08809489015538993,0.01102789990675343,0.09912279006214336
f004_pb3_flux_err_min,0.08402747333041063,0.014330476839240129,0.09835795016965077
f005_detected_std-d-mean_min,0.06690535340250378,0.03140893423500705,0.09831428763751082
f002_flux_min,0.08263919333625602,0.014465468712942037,0.09710466204919806
f005_flux_max_median,0.08049588387159627,0.014645231063844757,0.09514111493544103
f004_pb1_detected_std,0.07589263968045204,0.0190192762940557,0.09491191597450774
f004_pb3_mjd_max-d-min,0.08217643333820449,0.011308241895259781,0.09348467523346426
f005_flux_mean_median,0.078620488090019,0.01483072790132383,0.09345121599134282
f004_pb1_flux_err_mean,0.049174338740318575,0.041513093137387824,0.09068743187770639
f005_mjd_max-d-min_min,0.07852306493253447,0.011135132010882101,0.08965819694341658
f004_pb2_mjd_min,0.07954600808612207,0.010058036110436446,0.08960404419655851
f004_pb2_flux_err_median,0.07430951337132836,0.014756681477505411,0.08906619484883377
f004_pb4_mjd_max,0.07769496809391592,0.010483938887479428,0.08817890698139536
f003_mjd_diff_max-d-min,0.07767061230454479,0.010372729194782172,0.08804334149932697
f004_pb5_mjd_max,0.07681815967655511,0.01102764112188474,0.08784580079843986
f002_passband_std-d-mean,0.07260460811534902,0.013056312358290217,0.08566092047363924
f005_mjd_size_std,0.07562472599736958,0.009966236870623063,0.08559096286799264
f005_mjd_min_max,0.07586828389108091,0.009441615456268383,0.0853098993473493
f005_detected_std_median,0.07092405864874081,0.014331798509706357,0.08525585715844716
f005_detected_std_max,0.07197135759169955,0.01265972297575993,0.08463108056745948
f001_ra,0.07450435968629743,0.00945763384526508,0.0839619935315625
f005_flux_err_std_std,0.07399288810950364,0.009796767708130443,0.08378965581763408
f002_detected_std-d-mean,0.05916021238248332,0.024522369956664448,0.08368258233914777
f005_flux_err_max_std,0.07384675337327683,0.009762142270080248,0.08360889564335708
f005_detected_mean_mean,0.06537093867212236,0.016735458806781376,0.08210639747890373
f002_flux_mean,0.06461590920161722,0.016876947374940682,0.0814928565765579
f005_flux_max_max,0.06113303132154513,0.01969309018310557,0.0808261215046507
f002_detected_std,0.06702713234935945,0.01367145868573263,0.08069859103509208
f004_pb0_detected_std,0.04620293243704028,0.03441667254545491,0.0806196049824952
f004_pb0_mjd_max-d-min,0.07058307759754494,0.008882947787877859,0.0794660253854228
f004_pb4_flux_err_std,0.06785522918797798,0.010935576076373065,0.07879080526435105
f004_pb3_flux_err_max,0.0664182376150811,0.010535559691678737,0.07695379730675984
f004_pb3_flux_err_median,0.06478639972721516,0.011437393844612672,0.07622379357182783
f004_pb4_mjd_max-d-min,0.06602854498514296,0.01006997465019458,0.07609851963533754
f005_flux_mean_mean,0.06300842710312242,0.012518911758512186,0.07552733886163461
f002_mjd_max,0.0664913049831945,0.00896307640012127,0.07545438138331577
f004_pb0_flux_err_std,0.06427492815042135,0.010901279235301872,0.07517620738572323
f003_flux_err_diff_std,0.06515173656778216,0.009923623010389807,0.07507535957817196
f001_gal_b,0.06632081445759658,0.00820913762286472,0.0745299520804613
f002_passband_mean,0.06291100394563788,0.010739167489959112,0.07365017143559699
f004_pb0_mjd_min,0.06493253446344197,0.008251731131344283,0.07318426559478625
f002_flux_err_max,0.06320327341809148,0.009198459280627652,0.07240173269871913
f004_pb2_flux_err_max,0.06266744605192655,0.009334700430487031,0.07200214648241358
f004_pb5_flux_err_std,0.061449656583369865,0.01038654288926406,0.07183619947263392
f004_pb0_mjd_max,0.06288664815626674,0.007941248669520786,0.07082789682578752
f005_flux_err_min_median,0.06032929027229773,0.010089948023246344,0.07041923829554407
f005_flux_std_max,0.05806420186078231,0.012121689772853661,0.07018589163363598
f005_flux_max_mean,0.05791806712455551,0.01179888874017855,0.06971695586473406
f004_pb5_mjd_max-d-min,0.06013444395732866,0.009117588835162435,0.06925203279249109
f003_passband_diff_mean,0.06113303132154513,0.007879835634457232,0.06901286695600237
f005_flux_err_min_std,0.06028057869355546,0.00847727352122339,0.06875785221477884
f004_pb2_mjd_max,0.05986653027424619,0.00809230365859053,0.06795883393283672
f004_pb4_flux_err_median,0.05842953870134931,0.008890590892734754,0.06732012959408407
f005_mjd_max-d-min_median,0.05869745238443178,0.007958560700443785,0.06665601308487556
f004_pb3_mjd_min,0.05906278922499878,0.007508671329217694,0.06657146055421648
f004_pb0_flux_err_min,0.057430951337132836,0.008819585815604611,0.06625053715273745
f004_pb1_mjd_max,0.05786935554581324,0.007865178109502774,0.06573453365531601
f002_flux_err_std,0.055531199766184425,0.009854192692017039,0.06538539245820146
f004_pb5_flux_err_max,0.0566759218666277,0.007808126147186488,0.06448404801381419
f005_detected_mean_median,0.05114715767938039,0.012606717058969295,0.06375387473834969
f004_pb2_flux_err_std,0.05492230503190609,0.008323825466960096,0.06324613049886618
f004_pb4_flux_err_mean,0.05436212187637001,0.00885011655323874,0.06321223842960876
f005_flux_err_median_min,0.04785912611427737,0.015151434406631858,0.06301056052090923
f005_mjd_max-d-min_mean,0.054386477665741145,0.007859347196108604,0.06224582486184975
f005_flux_err_min_mean,0.052438014516050464,0.009430106608961611,0.061868121125012075
f005_flux_err_std_min,0.05441083345511228,0.007408873033354075,0.06181970648846635
f005_mjd_min_mean,0.05394807345706074,0.006799387316967035,0.060747460774027776
f001_mwebv,0.05336353451215354,0.007103828954434163,0.0604673634665877
f004_pb0_flux_err_max,0.051877831360514395,0.008091387581567506,0.0599692189420819
f002_mjd_max-d-min,0.050635686102586584,0.009008868088072311,0.059644554190658894
f004_pb5_flux_err_min,0.05180476399240099,0.007525854529193539,0.05933061852159453
f005_mjd_min_std,0.050976667153782455,0.007826109496545686,0.05880277665032814
f005_mjd_max_min,0.05175605241365873,0.006607384331979852,0.05836343674563858
f004_pb0_flux_err_median,0.04958838715962784,0.008383005422624054,0.057971392582251896
f002_mjd_size,0.04664133664572069,0.011164398856469667,0.057805735502190356
f005_mjd_max-d-min_max,0.049515319791514446,0.007939290342444791,0.057454610133959236
f004_pb4_mjd_size,0.04785912611427737,0.008534177655074266,0.05639330376935163
f005_mjd_max-d-min_std,0.048784646110380435,0.0071959188545523325,0.05598056496493277
f004_pb3_flux_err_std,0.048419309269813436,0.006917022382897904,0.05533633165271134
f005_flux_err_max_min,0.04771299137805056,0.007222746921798026,0.05493573829984859
f002_flux_err_median,0.047031029275658824,0.007840227331908903,0.054871256607567725
f004_pb3_mjd_max,0.0486872229528959,0.006002008944608891,0.0546892318975048
f005_flux_err_min_min,0.044132690340493934,0.010548756302087474,0.054681446642581406
f004_pb2_flux_err_mean,0.04676311559257636,0.007910416296375062,0.05467353188895142
f005_flux_err_max_median,0.0441083345511228,0.007639964705545724,0.051748299256668524
f005_flux_std_mean,0.04335330508061766,0.00798330582137726,0.05133661090199492
f005_flux_err_std_max,0.04459545033854547,0.00627134904330432,0.05086679938184979
f002_flux_std,0.04179453456086512,0.00852615968951409,0.05032069425037921
f005_flux_err_min_max,0.04296361245067953,0.006442060441704331,0.04940567289238386
f004_pb0_flux_err_mean,0.040625456671050705,0.008495301617405668,0.04912075828845637
f004_pb3_flux_err_mean,0.041429197720298114,0.006916764978763278,0.04834596269906139
f005_flux_err_mean_min,0.036874665107896144,0.010754664370781536,0.04762932947867768
f005_flux_min_min,0.03948073457060743,0.007905431620675285,0.04738616619128272
f005_flux_err_median_median,0.04079594719664864,0.006354220088627621,0.04715016728527626
f005_flux_err_std_median,0.04084465877539091,0.0061167027717234255,0.04696136154711433
f005_mjd_size_median,0.039870427200545566,0.006774710921680524,0.04664513812222609
f004_pb2_mjd_size,0.04038189877733937,0.005991953333961261,0.046373852111300636
f005_flux_err_max_mean,0.03969993667494764,0.00618144922091453,0.045881385895862166
f005_mjd_max_mean,0.04040625456671051,0.005235394202067194,0.0456416487687777
f005_mjd_max_median,0.039967850358030105,0.00507337547451878,0.04504122583254888
f004_pb5_flux_err_median,0.038165521944566225,0.005830596520393824,0.04399611846496005
f004_pb5_mjd_min,0.038725705100102294,0.004976812242004008,0.0437025173421063
f002_flux_err_mean,0.03565687563933947,0.00624158262648453,0.041898458265824
f005_mjd_min_median,0.03675288616104048,0.004688544184081644,0.04144143034512212
f004_pb5_flux_err_mean,0.03504798090506113,0.0060250769261806555,0.04107305783124179
f005_flux_err_median_max,0.034317307223927125,0.004998382221239452,0.03931568944516658
f005_flux_err_std_mean,0.03280724828291685,0.005464703700287155,0.038271951983204
f004_pb5_mjd_size,0.030907496711968435,0.00713973840765906,0.038047235119627494
f005_mjd_max_max,0.03324565249159725,0.004437479565087722,0.03768313205668497
f005_flux_err_max_max,0.030980564080081836,0.00459058814101207,0.0355711522210939
f004_pb1_mjd_size,0.029373081981587022,0.005078557270571634,0.034451639252158654
f004_pb4_mjd_min,0.029543572507184958,0.0041143665810672945,0.03365793908825225
f002_mjd_min,0.02844756198548395,0.004009730573345073,0.03245729255882902
f005_flux_err_median_mean,0.027497686200009742,0.004582464595565429,0.03208015079557517
f005_flux_err_mean_max,0.02742461883189634,0.004469136744519817,0.03189375557641616
f005_mjd_size_max,0.025865848312143797,0.005038451657135938,0.030904299969279736
f004_pb3_mjd_size,0.026791368308246872,0.0038439772737929975,0.03063534558203987
f003_mjd_diff_size,0.024623703054215986,0.0059056279571228325,0.03052933101133882
f005_flux_err_mean_median,0.026085050416484,0.004368734315428216,0.030453784731912216
f003_detected_diff_std-d-mean,0.025159530420380924,0.004872815457823968,0.030032345878204893
f005_mjd_size_min,0.024769837790442787,0.00396067735202786,0.028730515142470648
f005_detected_mean_min,0.02235861464270057,0.006208929646692959,0.028567544289393527
f005_flux_err_mean_mean,0.024014808319937648,0.004204922088122281,0.028219730408059928
f004_pb0_mjd_size,0.016902917823566663,0.003108809152301638,0.0200117269758683
f005_detected_median_mean,0.003068829460762823,0.013709156751644821,0.016777986212407645
f004_pb0_detected_max,0.01259194310487603,0.00391646024597077,0.0165084033508468
f005_mjd_min_min,0.013955867309659507,0.0018964440667476234,0.01585231137640713
f005_mjd_size_mean,0.011666423108772955,0.0022044885137046536,0.013870911622477607
