feature,split,gain,total
f001_hostgal_specz,1.0,1.0,2.0
f001_distmod,0.44333173046768837,0.2870989593741726,0.730430689841861
f001_hostgal_photoz,0.28116702556919154,0.4237268512008161,0.7048938767700077
f001_hostgal_photoz_err,0.1771549831699107,0.2005691084508001,0.3777240916207108
f006_pb0_flux_mean,0.11976542409734273,0.07938460998101252,0.19915003407835524
f007_pb2_flux_max,0.14249127135121575,0.034303824010945866,0.17679509536216162
f007_pb1_flux_max,0.13473479542556083,0.02938815954374285,0.16412295496930368
f006_pb5_flux_max,0.1264451924484121,0.0365634418040129,0.163008634252425
f007_pb5_flux_max,0.1311074407810834,0.030705500577854566,0.16181294135893798
f006_pb0_flux_max,0.115542221571784,0.046135220156531945,0.16167744172831594
f007_pb0_flux_std,0.09252367711316929,0.0661890704804101,0.1587127475935794
f007_pb5_flux_std,0.11564675628776316,0.030512930840860437,0.1461596871286236
f006_pb0_flux_std,0.10822479145324163,0.029576463334593475,0.13780125478783511
f006_pb1_flux_q75,0.11672346386234868,0.017991668813876587,0.13471513267622526
f006_pb2_flux_max,0.10101189605067842,0.020741949371107515,0.12175384542178594
f007_pb0_flux_max,0.0989734690890845,0.020645769048459103,0.1196192381375436
f004_pb1_flux_q75,0.0980953774748594,0.01910673042747973,0.11720210790233913
f006_pb1_flux_mean,0.09274320001672555,0.019548496179160994,0.11229169619588654
f006_pb1_flux_std,0.09475026656352575,0.01653770996246707,0.11128797652599282
f004_pb1_detected_std-d-mean,0.06503104681064581,0.04258681764473302,0.10761786445537883
f006_pb3_flux_max,0.09021345989002948,0.014494102774099103,0.10470756266412858
f007_pb3_flux_max,0.08748510380297296,0.013946364186393579,0.10143146798936654
f005_detected_std-d-mean_std,0.09251322364157137,0.007410549822744632,0.099923773464316
f005_flux_q75_min,0.08328280822061007,0.013018763167138984,0.09630157138774906
f004_pb1_detected_mean,0.05121155735819866,0.04178749879761388,0.09299905615581254
f006_pb5_flux_mean,0.06866885492672116,0.022246868179271947,0.09091572310599311
f006_pb2_flux_median,0.07581902949969685,0.012957695203486457,0.0887767247031833
f010_pb_std_std-d-mean,0.08062762643473897,0.007596406913629873,0.08822403334836884
f010_pb3_diff_std-d-mean,0.0811189395998411,0.005823338126994787,0.08694227772683588
f004_pb2_flux_median,0.07717798080742615,0.009625831466002223,0.08680381227342837
f006_pb1_flux_max,0.07651941209675733,0.010221772076172676,0.08674118417293
f008_pb2_flux_q75,0.07456461290794672,0.011481942400036976,0.08604655530798369
f008_pb2_flux_mean,0.07620580794881981,0.00877747257894434,0.08498328052776416
f010_pb_median_mean,0.06487424473667705,0.019936835123997566,0.08481107986067461
f008_pb4_flux_mean,0.06842842507996905,0.016296923737612632,0.08472534881758167
f004_pb2_detected_std-d-mean,0.07665530722753026,0.0075502325373007955,0.08420553976483106
f006_pb2_flux_q75,0.06996508540486296,0.013296439677800375,0.08326152508266334
f010_pb3_diff_std,0.07670757458551984,0.0065201816599301755,0.08322775624545002
f010_pb_max_std-d-mean,0.06773849595450648,0.014177329327581506,0.08191582528208799
f010_pb3-m-pb5_mean,0.0731220338274341,0.008491474221156972,0.08161350804859106
f006_pb0_flux_q75,0.07066546800192343,0.010942929076475582,0.08160839707839901
f006_pb4_flux_max,0.0717108151617152,0.007991143294738262,0.07970195845645346
f010_pb_mean_mean,0.06323304969580398,0.016410768229064013,0.079643817924868
f010_pb2_diff_std-d-mean,0.07379105600970083,0.0055280010366480685,0.0793190570463489
f010_pb2_diff_std,0.07168990821851937,0.007286896308800258,0.07897680452731963
f008_pb1_flux_q75,0.06905563337584412,0.009752633693133048,0.07880826706897717
f006_pb3_flux_q75,0.06977692291610044,0.008857877313134813,0.07863480022923525
f010_pb_max_diff_min,0.06360937467332901,0.014279463254257344,0.07788883792758636
f010_pb_max_diff_max,0.07019506178001715,0.0073080598104279275,0.07750312159044508
f009_pb3_flux_std,0.06748761263615646,0.009478753055270066,0.07696636569142654
f004_pb2_flux_q75,0.0684493320231649,0.007886512858570274,0.07633584488173517
f006_pb5_flux_std,0.06451882670234785,0.011487571620583722,0.07600639832293157
f006_pb2_flux_q25,0.0672053689030127,0.007693641137282416,0.07489901004029512
f009_pb0_flux_std-d-mean,0.0625326670987435,0.01207601539226987,0.07460868249101336
f010_pb_max_mean,0.06077648387029332,0.013215395514168424,0.07399187938446175
f008_pb3_flux_std,0.06518784888461458,0.008102384817921925,0.07329023370253651
f006_pb4_flux_mean,0.05671008341870335,0.015831806768339646,0.07254189018704299
f010_pb_sum_std-d-mean,0.04963308314691309,0.022885178116755053,0.07251826126366814
f008_pb0_flux_q75,0.06421567602600824,0.007267690176104456,0.0714833662021127
f008_pb3_flux_mean,0.061957726160858026,0.009206316546733137,0.07116404270759116
f002_flux_std-d-mean,0.04275469883548326,0.02804981735582992,0.07080451619131317
f005_flux_std-d-mean_median,0.06205180740523928,0.0075428112542831665,0.06959461865952245
f008_pb1_flux_mean,0.060964646359055845,0.008583231949319986,0.06954787830837583
f008_pb2_flux_median,0.06153958729694131,0.0077371366239465215,0.06927672392088784
f004_pb2_flux_std-d-mean,0.06180092408688925,0.007219937631121941,0.0690208617180112
f004_pb1_flux_min,0.061100541489828776,0.00751175154350696,0.06861229303333574
f006_pb1_flux_median,0.060881018586272505,0.007033561542923496,0.067914580129196
f008_pb4_flux_q75,0.05854989441993686,0.008993609271845594,0.06754350369178246
f010_pb_std_std,0.062072714348435115,0.005125325691595071,0.06719804004003019
f007_pb4_flux_max,0.060483786665551625,0.0063776950599752115,0.06686148172552683
f004_pb0_flux_q75,0.0595220672785432,0.007309993368717301,0.06683206064726051
f008_pb3_flux_q75,0.0588112312098848,0.007246709653720131,0.06605794086360493
f010_pb_sum_mean,0.054786644644686494,0.010612484096291126,0.06539912874097761
f004_pb4_flux_std-d-mean,0.057629988919320106,0.007411814367752304,0.06504180328707242
f004_pb3_detected_std-d-mean,0.05752545420334093,0.005538197454117969,0.0630636516574589
f008_pb0_flux_mean,0.05571700361690117,0.007138956288030947,0.06285595990493212
f005_flux_std-d-mean_max,0.04139574752775397,0.021006472629018967,0.062402220156772936
f008_pb4_flux_std,0.05481800505948025,0.006878856392622543,0.06169686145210279
f010_pb2_diff_max-d-min,0.057316384771382574,0.004267506534847344,0.06158389130622992
f009_pb2_flux_std,0.056375572327569984,0.005036930363315572,0.06141250269088556
f004_pb5_detected_std-d-mean,0.052591415609123796,0.008238978914568202,0.060830394523691995
f007_pb0_flux_std-d-mean,0.053730844013296815,0.006829418874281801,0.06056026288757862
f009_pb4_flux_std,0.05421170370680103,0.0056776958749762034,0.05988939958177723
f004_pb3_flux_std-d-mean,0.05402354121803851,0.005802198950297305,0.05982574016833582
f010_pb2_diff_median,0.055392945997365724,0.004013917460766143,0.05940686345813187
f004_pb2_flux_q25,0.05393991344525517,0.005409240222077837,0.05934915366733301
f007_pb0_flux_max-d-min,0.05121155735819866,0.007979871740480423,0.05919142909867908
f010_pb2-m-pb4_mean,0.05161924275051745,0.007447179828151851,0.0590664225786693
f007_pb1_flux_std,0.051713323994898704,0.007343310620945112,0.05905663461584382
f010_pb3-m-pb5_median,0.05358449541092596,0.005076712898583155,0.05866120830950912
f004_pb1_flux_median,0.052831845455875895,0.005772777402297465,0.05860462285817336
f010_pb3_diff_max-d-min,0.054671656457109405,0.0038197940769455537,0.05849145053405496
f007_pb4_flux_std,0.05041709351675691,0.007553147755573267,0.05797024127233018
