feature,split,gain,total
f001_hostgal_specz,1.0,1.0,2.0
f001_hostgal_photoz,0.5551428205456642,0.5254508459080884,1.0805936664537525
f001_hostgal_photoz_err,0.3607659792493916,0.3055762136494606,0.6663421928988522
f007_pb5_flux_std-d-mean,0.4454976303317536,0.12453512210483034,0.5700327524365839
f007_pb1_flux_std,0.40822338926604335,0.0576724399606255,0.46589582922666883
f006_pb2_flux_min,0.21006788779300628,0.17525934176302582,0.3853272295560321
f008_pb2_flux_min,0.34308953503266304,0.01281322412732531,0.35590275915998837
f001_distmod,0.22710388113231716,0.12828029065461644,0.3553841717869336
f009_pb2_flux_median,0.28000512360701935,0.04735530023095669,0.32736042383797603
f009_pb2_flux_q75,0.27257589342897404,0.04827449986955911,0.32085039329853315
f007_pb5_flux_min,0.11905981811195082,0.19024791875378094,0.30930773686573176
f010_pb_sum_diff_max,0.2951197643140771,0.00796873521104473,0.30308849952512185
f004_pb2_flux_q75,0.23145894709875756,0.060008391528388653,0.2914673386271462
f004_pb2_flux_err_std-d-mean,0.26982195465607794,0.0034500083066391195,0.27327196296271705
f010_pb_max_diff_max,0.2554758550019214,0.010809003718707827,0.26628485872062924
f009_pb2_flux_mean,0.2104521583194569,0.048591957678213185,0.2590441159976701
f010_pb_sum_diff_min,0.24785448956065073,0.007829358302516689,0.25568384786316745
f010_pb_max_diff_min,0.2335083899064942,0.011958257756658123,0.24546664766315232
f009_pb1_flux_q75,0.236070193416165,0.006275723496803168,0.24234591691296817
f009_pb3_flux_median,0.21647239656718328,0.025280751462904948,0.24175314803008824
f005_flux_std_min,0.20801844498526964,0.03126025108769798,0.23927869607296762
f008_pb4_flux_min,0.21467913411041378,0.01485775662202638,0.22953689073244016
f005_flux_err_mean_std,0.2197386960420136,0.0033803585477752175,0.2231190545897888
f009_pb2_flux_q25,0.21006788779300628,0.012233733055062156,0.22230162084806843
f010_pb2_diff_std,0.20135775586012555,0.01341880602362517,0.21477656188375072
f006_pb2_flux_q75,0.17247342128858717,0.03612256735609672,0.2085959886446839
f004_pb2_detected_std-d-mean,0.20225438708851032,0.004515806946842112,0.20677019403535243
f004_pb2_flux_err_max-d-min,0.20129371077238378,0.002294943027075631,0.20358865379945942
f007_pb2_flux_q75,0.170295888305367,0.02909176652206121,0.1993876548274282
f007_pb1_flux_max,0.17900602023824774,0.01598255931356651,0.19498857955181426
f009_pb3_flux_mean,0.17298578199052136,0.020970808646692075,0.19395659063721343
f007_pb0_flux_std,0.18163186883566032,0.010305900919112657,0.19193776975477297
f007_pb5_flux_max-d-min,0.08998334827718715,0.0953628380111482,0.18534618628833535
f004_pb4_detected_mean,0.17509926988599975,0.008473072612896706,0.18357234249889645
f006_pb2_flux_std,0.1423722300499552,0.03843955524559138,0.1808117852955466
f007_pb0_flux_std-d-mean,0.16959139234020754,0.009188732838142782,0.17878012517835032
f004_pb5_detected_std-d-mean,0.16485205584731652,0.013482303808978378,0.1783343596562949
f009_pb4_flux_std-d-mean,0.17164083514794418,0.005853479080368838,0.17749431422831302
f007_pb5_flux_q25,0.14916100935058282,0.023297055746474143,0.17245806509705697
f004_pb5_detected_mean,0.14820033303445626,0.02249415910675065,0.1706944921412069
f004_pb4_detected_std-d-mean,0.1629947483028052,0.006661733280496001,0.16965648158330118
f007_pb1_flux_q75,0.15236326373767134,0.014828254396506564,0.1671915181341779
f008_pb3_flux_min,0.16171384654796978,0.004358059107542055,0.16607190565551183
f008_pb5_flux_min,0.14960932496477522,0.015787596752500428,0.16539692171727566
f006_pb1_flux_q75,0.15691046496733702,0.0049566433758492035,0.1618671083431862
f005_flux_err_q75_std,0.15902395286281543,0.0023088996378887185,0.16133285250070414
f007_pb2_flux_std,0.15729473549378764,0.004021786368914171,0.16131652186270182
f010_pb_sum_diff_std,0.15319584987831436,0.0056799191302435775,0.15887576900855793
f005_flux_err_median_std,0.15550147303701808,0.0027268537383075284,0.1582283267753256
f005_flux_max-d-min_mean,0.11733060074292304,0.03906325807539858,0.15639385881832163
f005_detected_mean_std,0.14659920584091202,0.007134221665023711,0.15373342750593572
f005_flux_max_std,0.13712053285513,0.016253147857437426,0.15337368071256743
f005_flux_err_q25_std,0.1504419111054182,0.0020325006996279693,0.15247441180504617
f004_pb2_flux_err_min,0.14365313180479058,0.007327101842991623,0.1509802336477822
f008_pb2_flux_std,0.1425003202254387,0.00701680100030035,0.14951712122573907
f007_pb0_flux_max-d-min,0.13916997566286668,0.006906179665909217,0.1460761553287759
f007_pb5_flux_std,0.13769693864480595,0.004620854629428771,0.14231779327423472
f005_flux_err_max-d-min_min,0.1382733444344819,0.001772177267543408,0.1400455217020253
f004_pb5_flux_max,0.12879467144869988,0.010902934090150104,0.13969760553885
f009_pb2_flux_std,0.13148456513385426,0.0015586143459818524,0.1330431794798361
f010_pb_max_diff_std,0.12271038811323173,0.005332547187748287,0.12804293530098002
f009_pb3_flux_q25,0.11873959267324197,0.004241444408818868,0.12298103708206083
f004_pb5_flux_q25,0.11041373126681184,0.011158094236694895,0.12157182550350673
f006_pb3_flux_std,0.11342385039067505,0.006664267195642857,0.1200881175863179
f002_flux_err_min,0.11329576021519151,0.004751071035195626,0.11804683125038713
f005_flux_mean_std,0.11188676828487255,0.004919556939737129,0.11680632522460968
f004_pb1_flux_err_q25,0.10157550915844756,0.01520361893323433,0.11677912809168188
